JP_to_minusQ_resid,JQ_to_P_resid,J_lock_max_resid,J_lock_mean_resid,P_norm,Q_norm,candidate,max_J_lock_max_resid,max_J_lock_mean_resid,min_J_lock_max_resid,min_J_lock_mean_resid,pair_count
0.5077944872129567,0.5077944872129543,0.5077944872129768,0.5077944872129555,1.0,1.0,unit_C_eigen_raw_even_odd,0.7889543436165447,0.7889543436165033,0.18266861954396138,0.1826686195439589,4
0.5114822901214309,0.5114822901215031,0.5114822901215199,0.5114822901214671,1.0,1.0,unit_C_eigen_transported_even_odd,0.7681716040559874,0.7681716040559701,0.13800603779333967,0.13800603779333703,4
0.549719340867402,0.5497193408674094,0.5497193408675423,0.5497193408674057,0.8451964729674996,0.6638266918256004,C_eigen_transported_even_odd,0.8301546464450823,0.8301546464449585,0.1843569389999252,0.18435693899978298,4
0.5661426788836434,0.5661426788835386,0.5661426788836722,0.566142678883591,0.7912432803085625,0.695328923933908,C_eigen_raw_even_odd,0.8751597856934338,0.8751597856932851,0.18297948043727838,0.18297948043726803,4
0.5913379405452529,0.5913379405456727,0.591337940545732,0.5913379405454628,0.2548801848437005,0.21967412458342883,harmonic_P_comm,0.7357180626881423,0.7357180626872373,0.3924330397386074,0.39243303973850524,4
0.6686118779674206,0.6686118779676984,0.6686118779677217,0.6686118779675595,0.2548801848437005,0.3364467621717063,harmonic_Q_comm,0.7219640039318792,0.721964003931854,0.5577111598265748,0.5577111598265205,4
0.7088625289227635,0.7088625289231593,0.7088625289231958,0.7088625289229614,1.0,1.0,unit_harmonic_QP,0.8243902472709911,0.8243902472709783,0.5950866431681293,0.5950866431681068,4
0.7224438807766522,0.7224438807774792,0.7224438807775554,0.7224438807770657,0.3364467621699392,0.21967412458234584,norm_matched_harmonic_QP,0.8429763199723431,0.8429763199722982,0.5989114347481796,0.5989114347481418,4
0.7224438807772648,0.7224438807772523,0.722443880777301,0.7224438807772585,0.21967412458342883,0.3364467621717063,harmonic_QP,0.8429763199725083,0.8429763199724359,0.598911434748189,0.5989114347481814,4
0.7494405391029619,0.7494405391038155,0.7494405391038272,0.7494405391033888,1.1498790661525558,1.5824865606172906,P_comm,0.7951114559678806,0.7951114559677506,0.7185418946900242,0.7185418946885521,4
0.7505696799647456,0.750569679965452,0.7505696799654945,0.7505696799650987,1.1498790661525558,1.3906578478678013,Q_comm,0.8252919587958615,0.8252919587958203,0.7148364452881389,0.7148364452868103,4
0.8120565509740478,0.8120565509740272,0.8120565509740555,0.8120565509740375,1.0,1.0,unit_QP,0.9831745396588084,0.983174539658808,0.6144518237319643,0.6144518237319111,4
0.8570816624862613,0.857081662486338,0.857081662486338,0.8570816624862996,1.390657847864694,1.5824865606139678,norm_matched_QP,0.9831765350821583,0.9831765350821555,0.7200657417365998,0.7200657417365025,4
0.8570816624864487,0.8570816624863282,0.8570816624864642,0.8570816624863884,1.5824865606172906,1.3906578478678013,raw_QP,0.9831765350821571,0.9831765350821552,0.7200657417366066,0.7200657417365026,4
