best_C_lock_mean,best_candidate_id,best_delta_beta2_audit_only,best_pair_key,candidate_count_beta2_and_C_lock,candidate_count_beta2_opening_audit_only,candidate_count_ok,event_t,kappa_mode,scan_id,selected_A_candidate_id,selected_A_pair_key,tet_count,variant
0.10339126937405942,32,2,handle_candidate|0 1 2|3 4 5,2,6,10,6,identity,0,34,handle_candidate|0 1 2|4 5 6,4,no_backreaction
0.10339126937405942,50,2,handle_candidate|0 1 2|3 4 5,3,10,13,7,identity,1,48,handle_candidate|0 1 2|3 4 7,5,no_backreaction
0.010794773074150315,72,1,handle_candidate|0 1 2|3 7 8,6,13,24,8,identity,2,70,handle_candidate|0 1 2|3 4 7,6,no_backreaction
0.010794773074150315,98,1,handle_candidate|0 1 2|3 7 8,6,17,36,9,identity,3,96,handle_candidate|0 1 2|3 4 7,7,no_backreaction
0.04065773156907569,190,1,handle_candidate|0 1 3|2 7 9,8,25,47,10,identity,4,132,handle_candidate|0 2 3|7 8 10,8,no_backreaction
0.04065773156907569,248,1,handle_candidate|0 1 3|2 7 9,10,30,61,11,identity,5,164,handle_candidate|0 1 2|3 8 11,9,no_backreaction
0.04065773156907569,288,1,handle_candidate|0 1 3|2 7 9,10,33,74,12,identity,6,180,handle_candidate|0 1 2|3 8 11,10,no_backreaction
