A_face_a,A_face_b,B_face_a,B_face_b,P_mean_step_overlap,P_min_step_overlap,P_ranks,Q_mean_step_overlap,Q_min_step_overlap,Q_ranks,U_mean_step_overlap,U_min_step_overlap,assembly_index,carrier_norms,context,dims,polar_loop_det,polar_loop_dim,polar_loop_double_plus_I_resid,polar_loop_eigvals_json,polar_loop_identity_gate_pass,polar_loop_mean_step_sv,polar_loop_min_step_sv,polar_loop_minus_I_resid,polar_loop_monodromy_minus_gate_pass,polar_loop_plus_I_resid,polar_loop_trace_over_dim,polar_loop_valid,proper_monodromy_gate_pass,raw_overlap_loop_det,raw_overlap_loop_dim,raw_overlap_loop_double_plus_I_resid,raw_overlap_loop_eigvals_json,raw_overlap_loop_identity_gate_pass,raw_overlap_loop_mean_step_sv,raw_overlap_loop_min_step_sv,raw_overlap_loop_minus_I_resid,raw_overlap_loop_monodromy_minus_gate_pass,raw_overlap_loop_plus_I_resid,raw_overlap_loop_trace_over_dim,raw_overlap_loop_valid,union_faces,valid_same_dim
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",0.3527558790883804,0.035439341985538414,"[2, 2, 2]",0.7049384944854533,0.6232298595912229,"[2, 2, 2]",0.3372564278173027,0.03543934198553838,0,"[2.3708364034391116, 2.8561589965055068, 1.8683931014923973]",shared_edge,"[4, 4, 4]",0.9999999999999998,4,1.7271245238101208e-13,"[[0.9999999999999996, 2.6680024502341117e-15], [0.9999999999999996, -2.6680024502341117e-15], [1.0000000000000007, 2.4419345331397267e-13], [1.0000000000000007, -2.4419345331397267e-13]]",False,0.6879030516091786,0.03543934198553839,0.99999999999975,False,8.635622619050602e-14,0.99999999999975,True,False,0.0009048806943870415,4,0.6917777328240347,"[[0.5330381999221508, 0.0], [0.37929655654938943, 0.0], [0.008716264858549906, 0.0], [0.5134801631020304, 0.0]]",False,0.6879030516091786,0.03543934198553839,0.9710368802397251,False,0.4767669274819188,0.35863279610794047,True,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]",True
"[0, 1, 6]","[2, 4, 7]","[4, 6, 7]","[0, 3, 5]",0.3106421829658382,0.14756040981179838,"[2, 2, 2]",0.4399703307155938,0.15550471204933253,"[2, 2, 2]",0.26671901655503116,0.1475604098117985,1,"[1.1522588823433135, 1.8969007749767168, 1.462204311912753]",shared_edge,"[4, 4, 4]",-0.9999999999999989,4,6.989220642083982e-14,"[[0.9999999999999996, 0.0], [-0.9999999999999991, 0.0], [1.0, 9.875432243862138e-14], [1.0, -9.875432243862138e-14]]",False,0.5599575474150417,0.14756040981179847,0.8660254037842222,False,0.4999999999998749,0.4999999999998752,True,False,-7.238992529428707e-05,4,0.7542508205924605,"[[0.07033866935030564, 0.0], [0.6456110680790059, 0.0], [-0.05158349091788302, 0.0], [0.030903116805014307, 0.0]]",False,0.5599575474150417,0.14756040981179847,0.9092875647858539,False,0.6568405815178914,0.17381734082906708,True,"[[0, 1, 6], [0, 3, 5], [2, 4, 7], [4, 6, 7]]",True
