A_gate_minus,A_gate_plus,A_rank_score_avg,A_rank_score_minus,A_rank_score_plus,C_lock_max_minus,C_lock_max_plus,C_lock_max_worst,C_lock_mean_avg,C_lock_mean_minus,C_lock_mean_plus,C_lock_mean_worst,P_norm_minus,P_norm_plus,QP_balance_proxy_min,Q_norm_minus,Q_norm_plus,beta2_opening_audit_minus,beta2_opening_audit_plus,candidate_id,cascade_index,comm_abs_area_balance_proxy,comm_abs_area_minus,comm_abs_area_plus,decision_used_delta_beta,delta_beta2_audit_minus,delta_beta2_audit_plus,directed_imbalance_avg,directed_imbalance_minus,directed_imbalance_plus,event_t,face_a,face_b,move_class,pareto_audit_score,passes_A_gate_both,passes_C_lock_worst,passes_QP_proxy,passes_all_pareto_gate,passes_beta2_audit_both,passes_phase_flip,phase_flip_quality_0_1,rule,scan_id,selected_minus,selected_plus,signed_amplitude_avg,signed_amplitude_balance_zero_if_equal,signed_amplitude_min,signed_birth_minus,signed_birth_plus,signed_flip_abs,signed_flip_score_zero_if_perfect,top_rank_by_pareto_audit_score,transport_cosine_minus,transport_cosine_plus,transverse_complementarity_avg,transverse_complementarity_minus,transverse_complementarity_plus,variant
True,True,23.9509527019268,23.9509527019268,23.9509527019268,0.1544549595997853,0.10339126937406562,0.1544549595997853,0.1289231144869171,0.1544549595997748,0.10339126937405942,0.1544549595997748,0.8153601278863027,1.5237833702768515,0.9059463520730224,0.9000092842359345,1.4951204689706883,True,True,32,1,0.36510892748871077,0.11292402687213139,0.309288594087467,False,2,2,0.7805782412610942,0.7805782412610942,0.7805782412610942,6,3 4 5,0 1 2,handle_candidate,1.3090380082728218e-12,True,True,True,False,True,False,1.8348370298853467e-12,A_rank_rule,0,False,False,0.2665518798449115,0.021796819878397874,0.26074189653167273,-0.26074189653167273,-0.2723618631581503,0.9999999999981243,-0.9999999999981243,1,0.30604077452731443,-0.06977274777580166,0.33612090443309484,0.33612090443309484,0.33612090443309484,no_backreaction
True,True,23.429410824773548,23.429410824773548,23.429410824773548,0.2800658013906364,0.4435102591428361,0.4435102591428361,0.3617880302667327,0.28006580139063264,0.44351025914283265,0.44351025914283265,0.654420859834562,0.47400210930983555,0.8336754197139301,0.5455745849929632,0.48773289990712415,True,True,36,1,0.9174007539755132,0.10829757630674695,0.09935227815844774,False,1,1,0.5902665693185405,0.5902665693185405,0.5902665693185405,6,4 5 6,0 1 3,handle_candidate,3.8571161023693396e-13,True,False,True,False,True,False,7.706311211105672e-13,A_rank_rule,0,False,False,0.5959017190175253,0.08160517865211483,0.547273052777957,-0.6445303852570936,-0.547273052777957,0.9999999999991609,-0.9999999999991609,2,-0.2886817040805139,0.03321035502721625,0.3417300614853196,0.3417300614853196,0.3417300614853196,no_backreaction
True,True,22.58346441453989,22.58346441453989,22.58346441453989,0.15564814123088827,0.22211308734328625,0.22211308734328625,0.18888061428703481,0.15564814123085577,0.22211308734321386,0.22211308734321386,0.7856975290193592,0.9803322472526514,0.7386679067013499,1.0636681543770996,1.0979193465729233,True,True,46,2,0.5512495171590802,0.12849316519752316,0.23309438139587738,False,1,1,0.5666224186921238,0.5666224186921238,0.5666224186921238,6,2 4 6,0 1 3,handle_candidate,3.8415436900780896e-13,True,False,True,False,True,False,6.508138428933486e-13,A_rank_rule,1,False,False,0.4600659755872668,0.40116355494084277,0.2755042733131513,0.2755042733131513,0.6446276778613823,0.9999999999989132,0.9999999999989132,3,0.7071732727705734,0.25353556729322896,0.32877235633942,0.32877235633942,0.32877235633942,no_backreaction
True,True,22.82665234876046,22.82665234876046,22.82665234876046,0.1990510606651949,0.23821076322219464,0.23821076322219464,0.218630911943687,0.1990510606651888,0.2382107632221852,0.2382107632221852,0.9372206601637306,0.9513688172002347,0.9191460969017896,1.0196645161437845,0.9457986995287728,True,True,44,2,0.85367881237769,0.1864167405501066,0.21836870945647557,False,1,1,0.60423140775587,0.60423140775587,0.60423140775587,6,2 4 5,0 1 3,handle_candidate,2.816227938292873e-13,True,False,True,False,True,False,1.1908307247163878e-12,A_rank_rule,1,True,True,0.15339123909230407,0.6346713345984971,0.056038216661556936,0.2507442615230512,0.056038216661556936,0.9999999999967404,0.9999999999967404,4,0.21146786731177558,-0.012097283839237577,0.31593600984829,0.31593600984829,0.31593600984829,no_backreaction
True,True,23.548975715173086,23.548975715173086,23.548975715173086,0.18117912915544102,0.16875463166528396,0.18117912915544102,0.1749668804103604,0.18117912915543988,0.16875463166528093,0.18117912915543988,0.48350090393169576,0.4899665625568022,0.7189895383283336,0.6724727943262248,0.4420139362788122,True,True,34,1,0.674020065439961,0.05793386614569118,0.08595273214485286,False,1,1,0.5902665693185405,0.5902665693185405,0.5902665693185405,6,4 5 6,0 1 2,handle_candidate,7.249932122841265e-14,True,True,True,False,True,False,2.47041738402484e-13,A_rank_rule,0,True,True,0.1677558775515004,0.9171141264237215,0.013904592457952778,-0.321607162645048,-0.013904592457952778,0.9999999999970195,-0.9999999999970195,5,0.6859348976363246,-0.12890244341825408,0.41941405673564996,0.41941405673564996,0.41941405673564996,no_backreaction
True,True,18.856887784898852,18.856887784898852,18.856887784898852,0.8080017943199819,0.5259471572933395,0.8080017943199819,0.6669744758066445,0.8080017943199722,0.5259471572933168,0.8080017943199722,0.4605760135767254,0.418176274833398,0.44359183071900465,0.25555805992229874,0.9427050857883137,True,True,38,1,0.3177538060501519,0.056033949943294935,0.17634391430116558,False,1,1,0.12206187543724384,0.12206187543724384,0.12206187543724384,6,1 4 6,0 2 3,handle_candidate,4.054728537119348e-14,True,False,False,False,True,False,6.40779920041392e-13,A_rank_rule,0,False,False,0.6381337717820912,0.18225667069285653,0.521829635080321,-0.521829635080321,-0.7544379084838614,0.9999999999992164,-0.9999999999992164,6,-0.5479550967181399,0.7113022689892015,0.26550234612555595,0.26550234612555595,0.26550234612555595,no_backreaction
True,True,18.856887784898852,18.856887784898852,18.856887784898852,0.8080017943199819,0.5259471572933395,0.8080017943199819,0.6669744758066445,0.8080017943199722,0.5259471572933168,0.8080017943199722,0.4605760135767254,0.418176274833398,0.44359183071900465,0.25555805992229874,0.9427050857883137,True,True,52,2,0.3177538060501519,0.056033949943294935,0.17634391430116558,False,1,1,0.12206187543724384,0.12206187543724384,0.12206187543724384,6,1 4 6,0 2 3,handle_candidate,4.054728537119348e-14,True,False,False,False,True,False,6.40779920041392e-13,A_rank_rule,1,False,False,0.6381337717820912,0.18225667069285653,0.521829635080321,-0.521829635080321,-0.7544379084838614,0.9999999999992164,-0.9999999999992164,7,-0.5479550967181399,0.7113022689892015,0.26550234612555595,0.26550234612555595,0.26550234612555595,no_backreaction
True,True,20.107706406624303,20.107706406624303,20.107706406624303,0.2473930019533826,0.7102510314009614,0.7102510314009614,0.478822016676978,0.24739300195303898,0.7102510314009169,0.7102510314009169,0.3167183149888888,0.6367681827523352,0.37294877217280153,0.8492273969513648,0.547391112892708,True,True,42,1,0.3699461507444474,0.06447188423970167,0.17427369931973644,False,1,1,0.19557024887060076,0.19557024887060076,0.19557024887060076,6,4 5 6,0 2 3,handle_candidate,3.9079381818702245e-14,True,False,False,False,True,False,6.79146258996973e-13,A_rank_rule,0,False,False,0.4955585932007478,0.32689198086513344,0.33356446303445303,0.6575527233670425,0.33356446303445303,0.999999999998991,0.999999999998991,8,0.9235046644066841,-0.15010521074578276,0.281228066820324,0.281228066820324,0.281228066820324,no_backreaction
True,True,18.55948681495985,18.55948681495985,18.55948681495985,0.4592668851079638,0.9082745035104552,0.9082745035104552,0.6837706943087918,0.45926688510781866,0.9082745035097649,0.9082745035097649,0.14045278247434095,0.39210321790970454,0.21245370247709322,0.6610983044142154,0.5341626267065047,True,True,40,1,0.4759527955386914,0.037880907083045236,0.07958963039537362,False,1,1,0.09351592750669213,0.09351592750669213,0.09351592750669213,6,1 5 6,0 2 3,handle_candidate,2.0723895827297432e-14,True,False,False,False,True,False,7.547009723801284e-13,A_rank_rule,0,False,False,0.6601436152891058,0.003701885391382866,0.6576998392834505,0.6625873912947611,0.6576998392834505,0.9999999999992425,0.9999999999992425,9,0.9399600857795589,0.3819805207533921,0.29618128445723796,0.29618128445723796,0.29618128445723796,no_backreaction
True,True,23.9509527019268,23.9509527019268,23.9509527019268,0.1544549595997853,0.10339126937406562,0.1544549595997853,0.1289231144869171,0.1544549595997748,0.10339126937405942,0.1544549595997748,0.8153601278863027,1.5237833702768515,0.9059463520730224,0.9000092842359345,1.4951204689706883,True,True,32,1,0.36510892748871077,0.11292402687213139,0.309288594087467,False,2,2,0.7805782412610942,0.7805782412610942,0.7805782412610942,6,3 4 5,0 1 2,handle_candidate,1.3090380082728218e-12,True,True,True,False,True,False,1.8348370298853467e-12,C_eigen_guided_rule,0,True,True,0.2665518798449115,0.021796819878397874,0.26074189653167273,-0.26074189653167273,-0.2723618631581503,0.9999999999981243,-0.9999999999981243,1,0.30604077452731443,-0.06977274777580166,0.33612090443309484,0.33612090443309484,0.33612090443309484,no_backreaction
