A_gate_minus,A_gate_plus,A_rank_score_avg,A_rank_score_minus,A_rank_score_plus,C_lock_max_minus,C_lock_max_plus,C_lock_max_worst,C_lock_mean_avg,C_lock_mean_minus,C_lock_mean_plus,C_lock_mean_worst,P_norm_minus,P_norm_plus,QP_balance_proxy_min,Q_norm_minus,Q_norm_plus,beta2_opening_audit_minus,beta2_opening_audit_plus,candidate_id,cascade_index,comm_abs_area_balance_proxy,comm_abs_area_minus,comm_abs_area_plus,decision_used_delta_beta,delta_beta2_audit_minus,delta_beta2_audit_plus,directed_imbalance_avg,directed_imbalance_minus,directed_imbalance_plus,event_t,face_a,face_b,move_class,pareto_audit_score,pareto_front,passes_A_gate_both,passes_C_lock_worst,passes_QP_proxy,passes_all_pareto_gate,passes_beta2_audit_both,passes_phase_flip,phase_flip_quality_0_1,rule,scan_id,selected_minus,selected_plus,signed_amplitude_avg,signed_amplitude_balance_zero_if_equal,signed_amplitude_min,signed_birth_minus,signed_birth_plus,signed_flip_abs,signed_flip_score_zero_if_perfect,transport_cosine_minus,transport_cosine_plus,transverse_complementarity_avg,transverse_complementarity_minus,transverse_complementarity_plus,variant
True,True,23.9509527019268,23.9509527019268,23.9509527019268,0.1544549595997853,0.10339126937406562,0.1544549595997853,0.1289231144869171,0.1544549595997748,0.10339126937405942,0.1544549595997748,0.8153601278863027,1.5237833702768515,0.9059463520730224,0.9000092842359345,1.4951204689706883,True,True,32,1,0.36510892748871077,0.11292402687213139,0.309288594087467,False,2,2,0.7805782412610942,0.7805782412610942,0.7805782412610942,6,3 4 5,0 1 2,handle_candidate,1.3090380082728218e-12,True,True,True,True,False,True,False,1.8348370298853467e-12,A_rank_rule,0,False,False,0.2665518798449115,0.021796819878397874,0.26074189653167273,-0.26074189653167273,-0.2723618631581503,0.9999999999981243,-0.9999999999981243,0.30604077452731443,-0.06977274777580166,0.33612090443309484,0.33612090443309484,0.33612090443309484,no_backreaction
True,True,23.9509527019268,23.9509527019268,23.9509527019268,0.1544549595997853,0.10339126937406562,0.1544549595997853,0.1289231144869171,0.1544549595997748,0.10339126937405942,0.1544549595997748,0.8153601278863027,1.5237833702768515,0.9059463520730224,0.9000092842359345,1.4951204689706883,True,True,32,1,0.36510892748871077,0.11292402687213139,0.309288594087467,False,2,2,0.7805782412610942,0.7805782412610942,0.7805782412610942,6,3 4 5,0 1 2,handle_candidate,1.3090380082728218e-12,True,True,True,True,False,True,False,1.8348370298853467e-12,C_eigen_guided_rule,0,True,True,0.2665518798449115,0.021796819878397874,0.26074189653167273,-0.26074189653167273,-0.2723618631581503,0.9999999999981243,-0.9999999999981243,0.30604077452731443,-0.06977274777580166,0.33612090443309484,0.33612090443309484,0.33612090443309484,no_backreaction
True,True,19.50508846708531,19.50508846708531,19.50508846708531,0.17309180304907085,0.13800603779333967,0.17309180304907085,0.15554892042120144,0.17309180304906585,0.13800603779333703,0.17309180304906585,0.9623835546302191,1.9332642228736154,0.929408608359379,1.0354794930596984,1.8917858976456636,True,True,32,1,0.28307179271078525,0.18593209519339876,0.6568372405196964,False,2,2,0.47978443481550515,0.47978443481550515,0.47978443481550515,6,3 4 5,0 1 2,handle_candidate,8.450422033841799e-13,True,True,True,True,False,True,False,2.4422921653742015e-12,A_rank_rule,0,False,False,0.19416721361096148,0.05155591222651235,0.1841567457887425,-0.1841567457887425,-0.20417768143318046,0.999999999997425,-0.999999999997425,0.19267692094939406,-0.06027679987050255,0.33612090443309484,0.33612090443309484,0.33612090443309484,real_growth
True,True,19.50508846708531,19.50508846708531,19.50508846708531,0.17309180304907085,0.13800603779333967,0.17309180304907085,0.15554892042120144,0.17309180304906585,0.13800603779333703,0.17309180304906585,0.9623835546302191,1.9332642228736154,0.929408608359379,1.0354794930596984,1.8917858976456636,True,True,32,1,0.28307179271078525,0.18593209519339876,0.6568372405196964,False,2,2,0.47978443481550515,0.47978443481550515,0.47978443481550515,6,3 4 5,0 1 2,handle_candidate,8.450422033841799e-13,True,True,True,True,False,True,False,2.4422921653742015e-12,C_eigen_guided_rule,0,True,True,0.19416721361096148,0.05155591222651235,0.1841567457887425,-0.1841567457887425,-0.20417768143318046,0.999999999997425,-0.999999999997425,0.19267692094939406,-0.06027679987050255,0.33612090443309484,0.33612090443309484,0.33612090443309484,real_growth
True,True,23.429410824773548,23.429410824773548,23.429410824773548,0.2800658013906364,0.4435102591428361,0.4435102591428361,0.3617880302667327,0.28006580139063264,0.44351025914283265,0.44351025914283265,0.654420859834562,0.47400210930983555,0.8336754197139301,0.5455745849929632,0.48773289990712415,True,True,36,1,0.9174007539755132,0.10829757630674695,0.09935227815844774,False,1,1,0.5902665693185405,0.5902665693185405,0.5902665693185405,6,4 5 6,0 1 3,handle_candidate,3.8571161023693396e-13,True,True,False,True,False,True,False,7.706311211105672e-13,A_rank_rule,0,False,False,0.5959017190175253,0.08160517865211483,0.547273052777957,-0.6445303852570936,-0.547273052777957,0.9999999999991609,-0.9999999999991609,-0.2886817040805139,0.03321035502721625,0.3417300614853196,0.3417300614853196,0.3417300614853196,no_backreaction
True,True,23.429410824773548,23.429410824773548,23.429410824773548,0.2800658013906364,0.4435102591428361,0.4435102591428361,0.3617880302667327,0.28006580139063264,0.44351025914283265,0.44351025914283265,0.654420859834562,0.47400210930983555,0.8336754197139301,0.5455745849929632,0.48773289990712415,True,True,36,1,0.9174007539755132,0.10829757630674695,0.09935227815844774,False,1,1,0.5902665693185405,0.5902665693185405,0.5902665693185405,6,4 5 6,0 1 3,handle_candidate,3.8571161023693396e-13,True,True,False,True,False,True,False,7.706311211105672e-13,C_eigen_guided_rule,0,False,False,0.5959017190175253,0.08160517865211483,0.547273052777957,-0.6445303852570936,-0.547273052777957,0.9999999999991609,-0.9999999999991609,-0.2886817040805139,0.03321035502721625,0.3417300614853196,0.3417300614853196,0.3417300614853196,no_backreaction
True,True,22.58346441453989,22.58346441453989,22.58346441453989,0.15564814123088827,0.22211308734328625,0.22211308734328625,0.18888061428703481,0.15564814123085577,0.22211308734321386,0.22211308734321386,0.7856975290193592,0.9803322472526514,0.7386679067013499,1.0636681543770996,1.0979193465729233,True,True,46,2,0.5512495171590802,0.12849316519752316,0.23309438139587738,False,1,1,0.5666224186921238,0.5666224186921238,0.5666224186921238,6,2 4 6,0 1 3,handle_candidate,3.8415436900780896e-13,True,True,False,True,False,True,False,6.508138428933486e-13,A_rank_rule,1,False,False,0.4600659755872668,0.40116355494084277,0.2755042733131513,0.2755042733131513,0.6446276778613823,0.9999999999989132,0.9999999999989132,0.7071732727705734,0.25353556729322896,0.32877235633942,0.32877235633942,0.32877235633942,no_backreaction
True,True,22.82665234876046,22.82665234876046,22.82665234876046,0.1990510606651949,0.23821076322219464,0.23821076322219464,0.218630911943687,0.1990510606651888,0.2382107632221852,0.2382107632221852,0.9372206601637306,0.9513688172002347,0.9191460969017896,1.0196645161437845,0.9457986995287728,True,True,44,2,0.85367881237769,0.1864167405501066,0.21836870945647557,False,1,1,0.60423140775587,0.60423140775587,0.60423140775587,6,2 4 5,0 1 3,handle_candidate,2.816227938292873e-13,True,True,False,True,False,True,False,1.1908307247163878e-12,A_rank_rule,1,True,True,0.15339123909230407,0.6346713345984971,0.056038216661556936,0.2507442615230512,0.056038216661556936,0.9999999999967404,0.9999999999967404,0.21146786731177558,-0.012097283839237577,0.31593600984829,0.31593600984829,0.31593600984829,no_backreaction
True,True,19.364494931025543,19.364494931025543,19.364494931025543,0.3443196933378935,0.5671924774837644,0.5671924774837644,0.4557560854108256,0.34431969333788964,0.5671924774837616,0.5671924774837616,0.7307898873544995,0.5398543714174099,0.8481124104001293,0.6582588934349576,0.6365363421127925,True,True,36,1,0.9081027752728306,0.1809959497870077,0.16436292431563168,False,1,1,0.3811503034968431,0.3811503034968431,0.3811503034968431,6,4 5 6,0 1 3,handle_candidate,2.306393337188412e-13,True,True,False,True,False,True,False,8.618600600173261e-13,A_rank_rule,0,False,False,0.5214436664316527,0.10130293004409745,0.46861989516913866,-0.5742674376941668,-0.46861989516913866,0.999999999999041,-0.999999999999041,-0.13783114135211968,0.170462934859557,0.3417300614853196,0.3417300614853196,0.3417300614853196,real_growth
True,True,19.364494931025543,19.364494931025543,19.364494931025543,0.3443196933378935,0.5671924774837644,0.5671924774837644,0.4557560854108256,0.34431969333788964,0.5671924774837616,0.5671924774837616,0.7307898873544995,0.5398543714174099,0.8481124104001293,0.6582588934349576,0.6365363421127925,True,True,36,1,0.9081027752728306,0.1809959497870077,0.16436292431563168,False,1,1,0.3811503034968431,0.3811503034968431,0.3811503034968431,6,4 5 6,0 1 3,handle_candidate,2.306393337188412e-13,True,True,False,True,False,True,False,8.618600600173261e-13,C_eigen_guided_rule,0,False,False,0.5214436664316527,0.10130293004409745,0.46861989516913866,-0.5742674376941668,-0.46861989516913866,0.999999999999041,-0.999999999999041,-0.13783114135211968,0.170462934859557,0.3417300614853196,0.3417300614853196,0.3417300614853196,real_growth
