JP_to_minusQ_resid,JQ_to_P_resid,J_lock_max_resid,J_lock_mean_resid,P_norm,Q_norm,alpha_P_scale_from_norms,beta_Q_scale_from_norms,candidate,pair_index
0.9878209475743701,0.9878209475743956,0.9878209475743956,0.9878209475743829,0.8153601278863027,0.9000092842359345,,,raw_QP,0
0.9877910333375519,0.9877910333375562,0.9877910333375562,0.9877910333375541,1.0,1.0,,,unit_QP,0
0.9878209475743905,0.987820947574374,0.9878209475743905,0.9878209475743822,0.9000092842352169,0.8153601278857319,1.1038181209183653,0.9059463520733947,norm_matched_QP,0
0.8223668402203363,0.8223668402204467,0.8223668402204467,0.8223668402203915,0.051462546937937344,0.07879904923815974,,,harmonic_QP,0
0.8132489956321055,0.8132489956321118,0.8132489956321118,0.8132489956321087,0.9999999999999999,1.0,,,unit_harmonic_QP,0
0.8223668402201602,0.8223668402200629,0.8223668402201602,0.8223668402201115,0.07879904923666138,0.05146254693730464,1.5311921761604852,0.6530858866300009,norm_matched_harmonic_QP,0
0.8625659736921689,0.8625659736925252,0.8625659736925252,0.862565973692347,0.15969869032035902,0.9000092842359345,,,Q_comm,0
0.8521049645555538,0.8521049645558884,0.8521049645558884,0.852104964555721,0.15969869032035902,0.8153601278863027,,,P_comm,0
0.7727942119390002,0.7727942119393567,0.7727942119393567,0.7727942119391784,0.017637939338640815,0.07879904923815974,,,harmonic_Q_comm,0
0.778408779635213,0.7784087796354887,0.7784087796354887,0.7784087796353509,0.017637939338640815,0.051462546937937344,,,harmonic_P_comm,0
0.1632328068550679,0.1632328068552221,0.1632328068552221,0.16323280685514502,0.4076800639431582,0.4500046421179529,,,C_eigen_raw_even_odd,0
0.16326808919160243,0.16326808919148408,0.16326808919160243,0.16326808919154326,0.45171308979362923,0.40578627006529494,,,C_eigen_transported_even_odd,0
0.15578470546663123,0.15578470546665973,0.15578470546665973,0.15578470546664547,0.9999999999999999,1.0,,,unit_C_eigen_raw_even_odd,0
0.1544549595997643,0.1544549595997853,0.1544549595997853,0.1544549595997748,1.0,1.0,,,unit_C_eigen_transported_even_odd,0
0.9754810161590916,0.9754810161581816,0.9754810161590916,0.9754810161586366,0.3167183149888888,0.8492273969513648,,,raw_QP,1
0.968915219502025,0.9689152195018494,0.968915219502025,0.9689152195019373,0.9999999999999999,0.9999999999999999,,,unit_QP,1
0.9754810161585212,0.97548101615901,0.97548101615901,0.9754810161587656,0.8492273969471262,0.3167183149881505,2.6813334018176973,0.3729487721723713,norm_matched_QP,1
0.7551342446401335,0.7551342446393374,0.7551342446401335,0.7551342446397354,0.053481365463890804,0.08884590681345024,,,harmonic_QP,1
0.7361712053410633,0.7361712053406231,0.7361712053410633,0.7361712053408431,0.9999999999999999,0.9999999999999999,,,unit_harmonic_QP,1
0.7551342446393885,0.7551342446392731,0.7551342446393885,0.7551342446393308,0.08884590681163951,0.05348136546326819,1.6612497837517985,0.6019564365026182,norm_matched_harmonic_QP,1
0.9082347530229422,0.9082347530213141,0.9082347530229422,0.9082347530221282,0.09117701308345379,0.8492273969513648,,,Q_comm,1
0.808004244922139,0.8080042449213873,0.808004244922139,0.8080042449217631,0.09117701308345379,0.3167183149888888,,,P_comm,1
0.884841171826197,0.8848411718247287,0.884841171826197,0.8848411718254628,0.011338225206961986,0.08884590681345024,,,harmonic_Q_comm,1
0.8321616423120819,0.8321616423118349,0.8321616423120819,0.8321616423119584,0.011338225206961986,0.053481365463890804,,,harmonic_P_comm,1
0.5069799383282436,0.5069799383264927,0.5069799383282436,0.5069799383273681,0.15835915749423177,0.42461369847595837,,,C_eigen_raw_even_odd,1
0.48425925328342573,0.4842592532846687,0.4842592532846687,0.4842592532840472,0.4029533509514727,0.20737167755633185,,,C_eigen_transported_even_odd,1
0.2473930019533826,0.24739300195269534,0.2473930019533826,0.24739300195303898,1.0,0.9999999999999999,,,unit_C_eigen_raw_even_odd,1
0.3832768338336725,0.3832768338338185,0.3832768338338185,0.3832768338337455,0.9999999999999998,1.0,,,unit_C_eigen_transported_even_odd,1
