P_harmonic_ratio,Q_harmonic_ratio,abs_area_mean_ratio,best_global_candidate,best_per_pair_max_J_lock_resid,best_per_pair_mean_J_lock_resid,beta0,beta1,beta2,beta3,decision_used_delta_beta_any,measured_delta_beta2_sum,pair_kappa_orientation_ratio,pair_orientation_coherence,pair_transport_harmonic_ratio,pairings,phase_sign,selected_C_eigen_lock_max_avg,selected_C_eigen_lock_mean_avg,selected_comm_signed_birth_over_abs_avg,selected_transport_cosine_avg,selection_rule,signed_birth_over_abs_sum_ratio,variant,variant_rule_phase
0.2223622980580523,0.22973062009687342,0.7716552961167751,unit_C_eigen_transported_even_odd,0.4620421301989585,0.3754141960073648,1,0,2,0,False,2,0.03184451192269542,0.05676988831157049,0.22973062009687342,2,1,0.37541419600737946,0.3754141960073648,0.021541918781972764,-0.21428636706750248,A_rank_rule,0.03053228041943122,real_growth,real_growth_A_rank_rule_phaseplus1
0.16982336160799377,0.28661080504703496,0.5196228644720641,unit_C_eigen_raw_even_odd,0.3652665636581663,0.25163630072573284,1,0,3,0,False,3,0.02077303724361272,0.023574512081149884,0.28661080504703496,2,1,0.251636300725753,0.25163630072573284,-0.5708633692494258,0.369425208630787,C_eigen_guided_rule,-0.37836031198310327,real_growth,real_growth_C_eigen_guided_rule_phaseplus1
0.20766140482798737,0.20604970825653332,0.4953719940699606,unit_C_eigen_transported_even_odd,0.24701125197646565,0.22997592032647993,1,0,2,0,False,2,0.010116541024780708,0.05375091691139585,0.20604970825653332,2,-1,0.22997592032649444,0.22997592032647993,0.0209135350803117,0.2688131842226834,A_rank_rule,0.15192848701512826,real_growth,real_growth_A_rank_rule_phaseminus1
0.23578828038134644,0.2591839911906973,0.6816749008926621,unit_C_eigen_raw_even_odd,0.6558481898342645,0.4144699964415267,1,0,3,0,False,3,0.05766426525016338,0.03314725026065091,0.2591839911906973,2,-1,0.4144699964416677,0.4144699964415267,0.10626849522285471,0.556401057154985,C_eigen_guided_rule,0.07359095735181857,real_growth,real_growth_C_eigen_guided_rule_phaseminus1
0.0,0.0,0.0,,0.0,0.0,1,0,0,0,False,0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,A_rank_rule,0.0,strict_symmetrized_control,strict_symmetrized_control_A_rank_rule_phaseplus1
0.0,0.0,0.0,,0.0,0.0,1,0,0,0,False,0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,C_eigen_guided_rule,0.0,strict_symmetrized_control,strict_symmetrized_control_C_eigen_guided_rule_phaseplus1
0.0,0.0,0.0,,0.0,0.0,1,0,0,0,False,0,0.0,0.0,0.0,0,-1,0.0,0.0,0.0,0.0,A_rank_rule,0.0,strict_symmetrized_control,strict_symmetrized_control_A_rank_rule_phaseminus1
0.0,0.0,0.0,,0.0,0.0,1,0,0,0,False,0,0.0,0.0,0.0,0,-1,0.0,0.0,0.0,0.0,C_eigen_guided_rule,0.0,strict_symmetrized_control,strict_symmetrized_control_C_eigen_guided_rule_phaseminus1
0.22032942395418834,0.2237951961247543,0.6395631484051085,unit_C_eigen_transported_even_odd,0.23821076322219464,0.20348269744373307,1,0,2,0,False,2,0.029346553917515176,0.0535042114580813,0.2237951961247543,2,1,0.2034826974437393,0.20348269744373307,0.021066812101802078,-0.07049986362874583,A_rank_rule,0.036283527323637814,no_backreaction,no_backreaction_A_rank_rule_phaseplus1
0.168393702565953,0.2788477838898089,0.5830848333767482,unit_C_eigen_raw_even_odd,0.5259471572933395,0.3146692133336881,1,0,3,0,False,3,0.039634116514310876,0.025927694459547276,0.2788477838898089,2,1,0.31466921333370257,0.3146692133336881,-0.5133998858210058,0.3207647606066999,C_eigen_guided_rule,-0.4474143469925116,no_backreaction,no_backreaction_C_eigen_guided_rule_phaseplus1
0.20550503711739804,0.20395169765228607,0.3732485086615699,unit_C_eigen_raw_even_odd,0.1990510606651949,0.19011509491031434,1,0,2,0,False,2,0.008084357922248176,0.05372168063671463,0.20395169765228607,2,-1,0.19011509491031797,0.19011509491031434,-0.03543145056099842,0.4487013824740501,A_rank_rule,0.11504363345988163,no_backreaction,no_backreaction_A_rank_rule_phaseminus1
0.2304529999508185,0.26629367737898313,0.3935855799793643,unit_C_eigen_raw_even_odd,0.2473930019533826,0.20092398077640689,1,0,3,0,False,3,0.05468784659577839,0.02439909604542777,0.26629367737898313,2,-1,0.20092398077658397,0.20092398077640689,0.1984054134176849,0.6147727194669993,C_eigen_guided_rule,0.07299851530370163,no_backreaction,no_backreaction_C_eigen_guided_rule_phaseminus1
