A_area_abs,A_face_a,A_face_b,A_signed_birth_over_abs,B_area_abs,B_face_a,B_face_b,B_signed_birth_over_abs,K_edge_has_nonzero_circulation,K_edge_kappa_flip_abs,K_edge_kappa_flips,K_edge_sign_identity,K_edge_sign_kappa,assembly_index,base_union_J_P_to_Q_subspace_resid,base_union_J_QP_subspace_max_resid,base_union_J_QP_subspace_mean_resid,base_union_J_Q_to_P_subspace_resid,base_union_J_span_leakage,base_union_P_norm,base_union_P_rank,base_union_Q_norm,base_union_Q_rank,base_union_basis_rank,base_union_gate_pass,base_union_projected_CJC_plus_J_resid,base_union_projected_J2_plus_I_resid,base_union_projected_J_skew_resid,birth_kappa_flip_abs,birth_kappa_flips,birth_sign_identity,birth_sign_kappa,block_mode,carrier_face_count,carrier_mode,context,cycle_closed_by_order,cycle_edge_count,cycle_operator_norm,cycle_order,decision_gate_pass,ident_link_K_edge_over_abs,ident_link_birth_over_abs,ident_link_circulation_K_edge,ident_link_circulation_abs,ident_link_circulation_birth,ident_link_face_count,improves_J2_over_base,improves_lock_over_base,kappa_link_K_edge_over_abs,kappa_link_birth_over_abs,kappa_link_circulation_K_edge,kappa_link_circulation_abs,kappa_link_circulation_birth,kappa_link_face_count,lambda_used,link_cycle_eff_J_P_to_Q_subspace_resid,link_cycle_eff_J_QP_subspace_max_resid,link_cycle_eff_J_QP_subspace_mean_resid,link_cycle_eff_J_Q_to_P_subspace_resid,link_cycle_eff_J_span_leakage,link_cycle_eff_P_norm,link_cycle_eff_P_rank,link_cycle_eff_Q_norm,link_cycle_eff_Q_rank,link_cycle_eff_basis_rank,link_cycle_eff_gate_pass,link_cycle_eff_projected_CJC_plus_J_resid,link_cycle_eff_projected_J2_plus_I_resid,link_cycle_eff_projected_J_skew_resid,link_cycle_only_J_P_to_Q_subspace_resid,link_cycle_only_J_QP_subspace_max_resid,link_cycle_only_J_QP_subspace_mean_resid,link_cycle_only_J_Q_to_P_subspace_resid,link_cycle_only_J_span_leakage,link_cycle_only_P_norm,link_cycle_only_P_rank,link_cycle_only_Q_norm,link_cycle_only_Q_rank,link_cycle_only_basis_rank,link_cycle_only_gate_pass,link_cycle_only_projected_CJC_plus_J_resid,link_cycle_only_projected_J2_plus_I_resid,link_cycle_only_projected_J_skew_resid,link_graph_closed_cycle,link_graph_link_edges,link_graph_link_vertices,local_negative_abort_marker,motif_signed_birth_over_abs_weighted,order_mode,pair_local_max_J_lock_raw_QP,pair_local_mean_J_lock_raw_QP,scale_mode,shared_edge
0.6568372405196964,"[3, 4, 5]","[0, 1, 2]",-0.20417768143318046,0.20459932250463359,"[1, 4, 6]","[0, 2, 3]",-0.9375490570656712,True,0.999999999999378,False,1.0,1.0,0,0.5438258343030019,0.5438258343030753,0.5438258343030387,0.5438258343030753,0.5438258343031512,2.001173722985544,2,2.221247105372363,2,4,False,6.831037208220323e-13,0.3395063127800071,2.0672306077682954e-16,0.9999999999999166,False,-1.0,-1.0,identity,4,motif_only,shared_edge,True,1,2.449489742783178,"[0, 1, 2] -> [0, 2, 3] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6]",False,0.04541205388766627,-0.3603346161183081,0.5041098118950215,11.10079304367007,-4.0,5,False,False,0.09261192724166409,-0.6711338653045248,1.1039458090780947,11.920125646422797,-8.0,5,1.0,0.6728529319176882,0.6728529319177268,0.6728529319177075,0.6728529319177268,0.5897660736017529,2.001173722985544,2,2.221247105372363,2,4,False,0.8753769740633285,0.7337181717577358,1.7983198619736564e-16,0.875614143249893,0.8756141432499004,0.8756141432498967,0.8756141432499004,0.6722938260935574,2.001173722985544,2,2.221247105372363,2,4,False,0.4583844633526456,0.7751039065204866,2.2278115918974753e-33,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",True,-0.37836031198177783,birth_order,0.9831765350821571,0.9623208521879859,unit,"[0, 2]"
0.6568372405196964,"[3, 4, 5]","[0, 1, 2]",-0.20417768143318046,0.20459932250463359,"[1, 4, 6]","[0, 2, 3]",-0.9375490570656712,True,0.999999999999378,False,1.0,1.0,0,0.5438258343030019,0.5438258343030753,0.5438258343030387,0.5438258343030753,0.5438258343031512,2.001173722985544,2,2.221247105372363,2,4,False,6.831037208220323e-13,0.3395063127800071,2.0672306077682954e-16,0.9999999999999166,False,-1.0,-1.0,identity,4,motif_only,shared_edge,True,1,2.449489742783178,"[0, 1, 2] -> [0, 2, 3] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6]",False,0.04541205388766627,-0.3603346161183081,0.5041098118950215,11.10079304367007,-4.0,5,False,False,0.09261192724166409,-0.6711338653045248,1.1039458090780947,11.920125646422797,-8.0,5,0.35355339059321955,0.5687263756823553,0.5687263756824208,0.568726375682388,0.5687263756824208,0.5522107226461782,2.001173722985544,2,2.221247105372363,2,4,False,0.36009825119013106,0.38970949402287997,2.050765007180539e-16,0.875614143249893,0.8756141432499004,0.8756141432498967,0.8756141432499004,0.6722938260935574,2.001173722985544,2,2.221247105372363,2,4,False,0.4583844633526456,0.7751039065204866,2.2278115918974753e-33,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",True,-0.37836031198177783,birth_order,0.9831765350821571,0.9623208521879859,quarter_base_norm,"[0, 2]"
0.6568372405196964,"[3, 4, 5]","[0, 1, 2]",-0.20417768143318046,0.20459932250463359,"[1, 4, 6]","[0, 2, 3]",-0.9375490570656712,True,0.999999999999378,False,1.0,1.0,0,0.5438258343030019,0.5438258343030753,0.5438258343030387,0.5438258343030753,0.5438258343031512,2.001173722985544,2,2.221247105372363,2,4,False,6.831037208220323e-13,0.3395063127800071,2.0672306077682954e-16,0.9999999999999166,False,-1.0,-1.0,identity,4,motif_only,shared_edge,True,1,2.449489742783178,"[0, 1, 2] -> [0, 2, 3] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6]",False,0.04541205388766627,-0.3603346161183081,0.5041098118950215,11.10079304367007,-4.0,5,False,False,0.09261192724166409,-0.6711338653045248,1.1039458090780947,11.920125646422797,-8.0,5,0.7071067811864391,0.6244495624277766,0.6244495624278266,0.6244495624278016,0.6244495624278266,0.5718330422117728,2.001173722985544,2,2.221247105372363,2,4,False,0.6648966288190189,0.5381465197021316,1.915477529533565e-16,0.875614143249893,0.8756141432499004,0.8756141432498967,0.8756141432499004,0.6722938260935574,2.001173722985544,2,2.221247105372363,2,4,False,0.4583844633526456,0.7751039065204866,2.2278115918974753e-33,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",True,-0.37836031198177783,birth_order,0.9831765350821571,0.9623208521879859,half_base_norm,"[0, 2]"
0.6568372405196964,"[3, 4, 5]","[0, 1, 2]",-0.20417768143318046,0.20459932250463359,"[1, 4, 6]","[0, 2, 3]",-0.9375490570656712,True,0.999999999999378,False,1.0,1.0,0,0.5438258343030019,0.5438258343030753,0.5438258343030387,0.5438258343030753,0.5438258343031512,2.001173722985544,2,2.221247105372363,2,4,False,6.831037208220323e-13,0.3395063127800071,2.0672306077682954e-16,0.9999999999999166,False,-1.0,-1.0,identity,4,motif_only,shared_edge,True,1,2.449489742783178,"[0, 1, 2] -> [0, 2, 3] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6]",False,0.04541205388766627,-0.3603346161183081,0.5041098118950215,11.10079304367007,-4.0,5,False,False,0.09261192724166409,-0.6711338653045248,1.1039458090780947,11.920125646422797,-8.0,5,1.4142135623728782,0.7288506931859792,0.7288506931860066,0.7288506931859928,0.7288506931860066,0.6114431807859914,2.001173722985544,2,2.221247105372363,2,4,False,1.1875416091749318,1.1220669896741138,1.6276878004650673e-16,0.875614143249893,0.8756141432499004,0.8756141432498967,0.8756141432499004,0.6722938260935574,2.001173722985544,2,2.221247105372363,2,4,False,0.4583844633526456,0.7751039065204866,2.2278115918974753e-33,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",True,-0.37836031198177783,birth_order,0.9831765350821571,0.9623208521879859,base_norm,"[0, 2]"
0.6568372405196964,"[3, 4, 5]","[0, 1, 2]",-0.20417768143318046,0.20459932250463359,"[1, 4, 6]","[0, 2, 3]",-0.9375490570656712,True,0.999999999999378,False,1.0,1.0,0,0.5438258343030019,0.5438258343030753,0.5438258343030387,0.5438258343030753,0.5438258343031512,2.001173722985544,2,2.221247105372363,2,4,False,6.831037208220323e-13,0.3395063127800071,2.0672306077682954e-16,0.9999999999999166,False,-1.0,-1.0,edge_projector,4,motif_only,shared_edge,True,1,1.4142135623730951,"[0, 1, 2] -> [0, 2, 3] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6]",False,0.04541205388766627,-0.3603346161183081,0.5041098118950215,11.10079304367007,-4.0,5,False,False,0.09261192724166409,-0.6711338653045248,1.1039458090780947,11.920125646422797,-8.0,5,1.0,0.5553256992496887,0.6371668812302573,0.596246290239973,0.6371668812302573,0.5976281355795627,2.001173722985544,2,2.221247105372363,2,4,False,0.1750568277987103,0.3453922919084411,2.080200179554665e-16,0.9801318108644672,0.9979579115383593,0.9890448612014133,0.9979579115383593,0.9760710949170137,2.001173722985544,2,2.221247105372363,2,4,False,0.9902480272044575,0.9951359594031316,3.239093420773256e-16,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",True,-0.37836031198177783,birth_order,0.9831765350821571,0.9623208521879859,unit,"[0, 2]"
0.6568372405196964,"[3, 4, 5]","[0, 1, 2]",-0.20417768143318046,0.20459932250463359,"[1, 4, 6]","[0, 2, 3]",-0.9375490570656712,True,0.999999999999378,False,1.0,1.0,0,0.5438258343030019,0.5438258343030753,0.5438258343030387,0.5438258343030753,0.5438258343031512,2.001173722985544,2,2.221247105372363,2,4,False,6.831037208220323e-13,0.3395063127800071,2.0672306077682954e-16,0.9999999999999166,False,-1.0,-1.0,edge_projector,4,motif_only,shared_edge,True,1,1.4142135623730951,"[0, 1, 2] -> [0, 2, 3] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6]",False,0.04541205388766627,-0.3603346161183081,0.5041098118950215,11.10079304367007,-4.0,5,False,False,0.09261192724166409,-0.6711338653045248,1.1039458090780947,11.920125646422797,-8.0,5,0.6123724356955175,0.5482185409482985,0.5844624093128926,0.5663404751305956,0.5844624093128926,0.5658669017297864,2.001173722985544,2,2.221247105372363,2,4,False,0.10764121517906816,0.3417091290217144,2.0794775441199616e-16,0.9801318108644672,0.9979579115383593,0.9890448612014133,0.9979579115383593,0.9760710949170137,2.001173722985544,2,2.221247105372363,2,4,False,0.9902480272044575,0.9951359594031316,3.239093420773256e-16,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",True,-0.37836031198177783,birth_order,0.9831765350821571,0.9623208521879859,quarter_base_norm,"[0, 2]"
0.6568372405196964,"[3, 4, 5]","[0, 1, 2]",-0.20417768143318046,0.20459932250463359,"[1, 4, 6]","[0, 2, 3]",-0.9375490570656712,True,0.999999999999378,False,1.0,1.0,0,0.5438258343030019,0.5438258343030753,0.5438258343030387,0.5438258343030753,0.5438258343031512,2.001173722985544,2,2.221247105372363,2,4,False,6.831037208220323e-13,0.3395063127800071,2.0672306077682954e-16,0.9999999999999166,False,-1.0,-1.0,edge_projector,4,motif_only,shared_edge,True,1,1.4142135623730951,"[0, 1, 2] -> [0, 2, 3] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6]",False,0.04541205388766627,-0.3603346161183081,0.5041098118950215,11.10079304367007,-4.0,5,False,False,0.09261192724166409,-0.6711338653045248,1.1039458090780947,11.920125646422797,-8.0,5,1.224744871391035,0.5608281005288018,0.6700988975746729,0.6154634990517374,0.6700988975746729,0.6194775648770092,2.001173722985544,2,2.221247105372363,2,4,False,0.21369810364260497,0.34834917485316375,2.1101686378702432e-16,0.9801318108644672,0.9979579115383593,0.9890448612014133,0.9979579115383593,0.9760710949170137,2.001173722985544,2,2.221247105372363,2,4,False,0.9902480272044575,0.9951359594031316,3.239093420773256e-16,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",True,-0.37836031198177783,birth_order,0.9831765350821571,0.9623208521879859,half_base_norm,"[0, 2]"
0.6568372405196964,"[3, 4, 5]","[0, 1, 2]",-0.20417768143318046,0.20459932250463359,"[1, 4, 6]","[0, 2, 3]",-0.9375490570656712,True,0.999999999999378,False,1.0,1.0,0,0.5438258343030019,0.5438258343030753,0.5438258343030387,0.5438258343030753,0.5438258343031512,2.001173722985544,2,2.221247105372363,2,4,False,6.831037208220323e-13,0.3395063127800071,2.0672306077682954e-16,0.9999999999999166,False,-1.0,-1.0,edge_projector,4,motif_only,shared_edge,True,1,1.4142135623730951,"[0, 1, 2] -> [0, 2, 3] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6]",False,0.04541205388766627,-0.3603346161183081,0.5041098118950215,11.10079304367007,-4.0,5,False,False,0.09261192724166409,-0.6711338653045248,1.1039458090780947,11.920125646422797,-8.0,5,2.44948974278207,0.6041556988642444,0.8159833747853771,0.7100695368248107,0.8159833747853771,0.7394971780033099,2.001173722985544,2,2.221247105372363,2,4,False,0.4150853150941093,0.3753383065584822,2.235843382667633e-16,0.9801318108644672,0.9979579115383593,0.9890448612014133,0.9979579115383593,0.9760710949170137,2.001173722985544,2,2.221247105372363,2,4,False,0.9902480272044575,0.9951359594031316,3.239093420773256e-16,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",True,-0.37836031198177783,birth_order,0.9831765350821571,0.9623208521879859,base_norm,"[0, 2]"
0.6568372405196964,"[3, 4, 5]","[0, 1, 2]",-0.20417768143318046,0.20459932250463359,"[1, 4, 6]","[0, 2, 3]",-0.9375490570656712,True,0.999999999999378,False,1.0,1.0,0,0.5438258343030019,0.5438258343030753,0.5438258343030387,0.5438258343030753,0.5438258343031512,2.001173722985544,2,2.221247105372363,2,4,False,6.831037208220323e-13,0.3395063127800071,2.0672306077682954e-16,0.9999999999999166,False,-1.0,-1.0,edge_complement,4,motif_only,shared_edge,True,1,2.0,"[0, 1, 2] -> [0, 2, 3] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6]",False,0.04541205388766627,-0.3603346161183081,0.5041098118950215,11.10079304367007,-4.0,5,False,False,0.09261192724166409,-0.6711338653045248,1.1039458090780947,11.920125646422797,-8.0,5,1.0,0.6765862128046545,0.6765862128046545,0.649986826966481,0.6233874411283076,0.5777538117847942,2.001173722985544,2,2.221247105372363,2,4,False,0.8137841918401368,0.6469463610869991,1.8881592492054763e-16,0.8915599027875913,0.8915599027875913,0.8596556714095995,0.8277514400316077,0.655499291810163,2.001173722985544,2,2.221247105372363,2,4,False,0.5480301930026725,0.8059975799214049,1.1667835913531919e-16,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",True,-0.37836031198177783,birth_order,0.9831765350821571,0.9623208521879859,unit,"[0, 2]"
0.6568372405196964,"[3, 4, 5]","[0, 1, 2]",-0.20417768143318046,0.20459932250463359,"[1, 4, 6]","[0, 2, 3]",-0.9375490570656712,True,0.999999999999378,False,1.0,1.0,0,0.5438258343030019,0.5438258343030753,0.5438258343030387,0.5438258343030753,0.5438258343031512,2.001173722985544,2,2.221247105372363,2,4,False,6.831037208220323e-13,0.3395063127800071,2.0672306077682954e-16,0.9999999999999166,False,-1.0,-1.0,edge_complement,4,motif_only,shared_edge,True,1,2.0,"[0, 1, 2] -> [0, 2, 3] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6]",False,0.04541205388766627,-0.3603346161183081,0.5041098118950215,11.10079304367007,-4.0,5,False,False,0.09261192724166409,-0.6711338653045248,1.1039458090780947,11.920125646422797,-8.0,5,0.4330127018921131,0.5805241254341476,0.5805241254341476,0.5719282040568321,0.5633322826795165,0.552288764550956,2.001173722985544,2,2.221247105372363,2,4,False,0.403746366383768,0.39565017161202354,2.132229784655031e-16,0.8915599027875913,0.8915599027875913,0.8596556714095995,0.8277514400316077,0.655499291810163,2.001173722985544,2,2.221247105372363,2,4,False,0.5480301930026725,0.8059975799214049,1.1667835913531919e-16,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",True,-0.37836031198177783,birth_order,0.9831765350821571,0.9623208521879859,quarter_base_norm,"[0, 2]"
