A_QP_balance_min,A_beta_delta_min,A_directed_imbalance,A_selected_by_old_rule,A_transport_cosine,A_transverse_complementarity,B_C_lock_worst,B_QP_balance_min,B_directed_imbalance,B_selected_by_old_rule,B_signed_amp_min,B_signed_flip_abs,B_transport_cosine,B_transverse_complementarity,assembly_score_low_is_good,candidate_A_key,candidate_B_key,context,edge_overlap,event_t_A,event_t_B,face_overlap,is_connected_context,is_strong_context,scan_id,variant,vertex_overlap
0.6695019405211171,1,0.7977307821335085,False,0.04716381757091137,0.3233712144337851,0.1172578071761215,0.6064211538227132,0.1088897272111571,False,0.3489974468930949,0.0747933895138543,-0.4732744921740796,0.2688307612369465,0.5190411304000002,handle_candidate|0 1 2|3 7 8,handle_candidate|1 5 6|3 7 8,shared_face,3,8,8,1,True,True,2,no_backreaction,4
0.6695019405211171,1,0.7977307821335085,False,0.04716381757091137,0.3233712144337851,0.1172578071761215,0.6064211538227132,0.1088897272111571,False,0.3489974468930949,0.0747933895138543,-0.4732744921740796,0.2688307612369465,0.5190411304000002,handle_candidate|0 1 2|3 7 8,handle_candidate|1 5 6|3 7 8,shared_face,3,9,9,1,True,True,3,no_backreaction,4
0.5678750844924241,1,0.1489902760320877,False,-0.11389218862784928,0.2799604099612163,0.1172578071761215,0.6064211538227132,0.1088897272111571,False,0.3489974468930949,0.0747933895138543,-0.4732744921740796,0.2688307612369465,0.5383141650651447,quotient_candidate|1 5 6|2 8 9,handle_candidate|1 5 6|3 7 8,shared_face,3,9,9,1,True,True,3,no_backreaction,4
0.566249632225825,2,0.560599545154613,False,0.07186249000240127,0.7789076356870308,0.1172578071761215,0.6064211538227132,0.1088897272111571,False,0.3489974468930949,0.0747933895138543,-0.4732744921740796,0.2688307612369465,0.5391268911984443,handle_candidate|1 2 4|3 7 8,handle_candidate|1 5 6|3 7 8,shared_face,3,8,8,1,True,True,2,no_backreaction,4
0.566249632225825,2,0.560599545154613,False,0.07186249000240127,0.7789076356870308,0.1172578071761215,0.6064211538227132,0.1088897272111571,False,0.3489974468930949,0.0747933895138543,-0.4732744921740796,0.2688307612369465,0.5391268911984443,handle_candidate|1 2 4|3 7 8,handle_candidate|1 5 6|3 7 8,shared_face,3,9,9,1,True,True,3,no_backreaction,4
0.7573191961167755,1,0.5902665693185405,False,-0.12406631607066895,0.3417300614853196,0.1172578071761215,0.6064211538227132,0.1088897272111571,False,0.3489974468930949,0.0747933895138543,-0.4732744921740796,0.2688307612369465,0.5793860092230277,handle_candidate|0 1 3|4 5 6,handle_candidate|1 5 6|3 7 8,shared_edge,1,8,8,0,True,True,2,no_backreaction,4
0.7573191961167755,1,0.5902665693185405,False,-0.12406631607066895,0.3417300614853196,0.1172578071761215,0.6064211538227132,0.1088897272111571,False,0.3489974468930949,0.0747933895138543,-0.4732744921740796,0.2688307612369465,0.5793860092230277,handle_candidate|0 1 3|4 5 6,handle_candidate|1 5 6|3 7 8,shared_edge,1,9,9,0,True,True,3,no_backreaction,4
0.645598510411256,1,0.1088897272111571,False,0.2587280024520772,0.2337562640381679,0.1172578071761215,0.6064211538227132,0.1088897272111571,False,0.3489974468930949,0.0747933895138543,-0.4732744921740796,0.2688307612369465,0.5836079222027295,handle_candidate|1 4 6|3 7 8,handle_candidate|1 5 6|3 7 8,shared_face,4,8,8,1,True,True,2,no_backreaction,5
0.645598510411256,1,0.1088897272111571,False,0.2587280024520772,0.2337562640381679,0.1172578071761215,0.6064211538227132,0.1088897272111571,False,0.3489974468930949,0.0747933895138543,-0.4732744921740796,0.2688307612369465,0.5836079222027295,handle_candidate|1 4 6|3 7 8,handle_candidate|1 5 6|3 7 8,shared_face,4,9,9,1,True,True,3,no_backreaction,5
0.8472330672529105,1,0.1262870014427758,False,0.42887742713717114,0.2655857245171599,0.1172578071761215,0.6064211538227132,0.1088897272111571,False,0.3489974468930949,0.0747933895138543,-0.4732744921740796,0.2688307612369465,0.617514687324295,handle_candidate|2 7 8|3 4 5,handle_candidate|1 5 6|3 7 8,shared_edge,1,8,8,0,True,True,2,no_backreaction,4
0.9087879686336656,2,0.873146979115577,True,0.1205016873395248,0.3496754174606368,0.1172578071761215,0.6064211538227132,0.1088897272111571,False,0.3489974468930949,0.0747933895138543,-0.4732744921740796,0.2688307612369465,0.6190411304000002,handle_candidate|0 1 2|3 4 7,handle_candidate|1 5 6|3 7 8,shared_edge,1,8,8,0,True,True,2,no_backreaction,3
0.9087879686336656,2,0.873146979115577,True,0.1205016873395248,0.3496754174606368,0.1172578071761215,0.6064211538227132,0.1088897272111571,False,0.3489974468930949,0.0747933895138543,-0.4732744921740796,0.2688307612369465,0.6190411304000002,handle_candidate|0 1 2|3 4 7,handle_candidate|1 5 6|3 7 8,shared_edge,1,9,9,0,True,True,3,no_backreaction,3
0.5330673827003379,1,0.6182756513606811,False,0.4320896220273507,0.3475469136016175,0.1172578071761215,0.6064211538227132,0.1088897272111571,False,0.3489974468930949,0.0747933895138543,-0.4732744921740796,0.2688307612369465,0.6557180159611878,handle_candidate|0 2 3|7 8 9,handle_candidate|1 5 6|3 7 8,shared_edge,1,9,9,0,True,True,3,no_backreaction,3
0.4732429572333897,1,0.5902665693185405,False,0.322507467825079,0.4194140567356499,0.1172578071761215,0.6064211538227132,0.1088897272111571,False,0.3489974468930949,0.0747933895138543,-0.4732744921740796,0.2688307612369465,0.685630228694662,handle_candidate|0 1 2|4 5 6,handle_candidate|1 5 6|3 7 8,shared_edge,1,8,8,0,True,True,2,no_backreaction,3
0.4732429572333897,1,0.5902665693185405,False,0.322507467825079,0.4194140567356499,0.1172578071761215,0.6064211538227132,0.1088897272111571,False,0.3489974468930949,0.0747933895138543,-0.4732744921740796,0.2688307612369465,0.685630228694662,handle_candidate|0 1 2|4 5 6,handle_candidate|1 5 6|3 7 8,shared_edge,1,9,9,0,True,True,3,no_backreaction,3
0.4427760426082492,1,0.4331978709261686,False,-0.2987808110790531,0.5283821413822835,0.1172578071761215,0.6064211538227132,0.1088897272111571,False,0.3489974468930949,0.0747933895138543,-0.4732744921740796,0.2688307612369465,0.7008636860072321,handle_candidate|1 2 4|7 8 9,handle_candidate|1 5 6|3 7 8,shared_edge,1,9,9,0,True,True,3,no_backreaction,3
