A_face_a,A_face_b,B_face_a,B_face_b,C3_like_transfer_pass,P_rank,P_to_Q_transfer_resid,QP_lock_transfer_pass,QP_transfer_max_resid,QP_transfer_mean_resid,Q_rank,Q_to_P_transfer_resid,bridge_cond,bridge_max_sv,bridge_min_sv,bridge_mode,bridge_norm,bridge_rank,bridge_rows,candidate_parent_fans,complex_like_transfer_pass,context,double_cover_like_transfer_pass,edge_overlap,event_t,face_overlap,fan_count,fans_json,max_abs_response_circulation,max_response_complex_eig_imag,mean_abs_response_circulation,mean_raw_response_weight_norm,mean_response_complex_eig_imag,motif_basis_rank,motif_span_leakage,parent_fan_count,projected_J2_plus_I_resid,projected_QP_transfer_cube_identity_resid,projected_QP_transfer_eig_imag_max,projected_QP_transfer_eig_real_max_abs,projected_QP_transfer_eigvals_json,projected_QP_transfer_identity_resid,projected_QP_transfer_minus_identity_resid,projected_QP_transfer_norm,projected_QP_transfer_rank,projected_QP_transfer_singular_values_json,projected_QP_transfer_skew_ratio,projected_QP_transfer_square_minus_identity_resid,projected_QP_transfer_sym_ratio,response_op,response_transfer_norm,result_open_transfer_gate_pass,scan_id,transfer_active,transfer_status,union_faces,vertex_overlap
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",False,2,0.9485149675592949,False,0.9485926361881553,0.9485538018737251,2,0.9485926361881553,6.999272781080358,0.678588725116499,0.09695131856323473,radial,1.0540925533884058,6,"[(0, 1, 1), (0, 2, 2), (0, 3, 3), (1, 4, 1), (1, 5, 2), (1, 6, 3)]","[0, 1]",False,shared_edge,False,1,6,0,2,"[{""parent"": 0, ""children"": [1, 2, 3], ""circulation_log_ratio"": 1.2873122315804113, ""raw_weight_norm"": 0.2383962485308338, ""complex_eig_imag_max"": 0.12782327036486443}, {""parent"": 1, ""children"": [4, 5, 6], ""circulation_log_ratio"": 1.0325323363568861, ""raw_weight_norm"": 0.22859547159078264, ""complex_eig_imag_max"": 0.09604348605970203}]",1.2873122315804113,0.12782327036486443,1.1599222839686487,0.23349586006080822,0.11193337821228323,4,0.8390589910749897,2,1.319952189768349,0.7097403611007946,0.0,0.8044833563291419,"[[0.8044833563291419, 0.0], [-0.5959036104615777, 0.0], [0.19464677790745077, 0.0], [-0.18391434450739558, 0.0]]",0.6865868134500039,0.7322714002363733,1.678807142497041,4,"[1.5771510384463128, 0.5313242810536303, 0.1936421092536001, 0.10576041562634969]",0.5562955842588079,0.9083898607327061,0.8309844901879699,markov,4.082152900910079,False,0,True,ok,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]",5
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",False,2,0.9301930476957374,False,0.9609242899114621,0.9455586688035997,2,0.9609242899114621,6.999272781080358,0.678588725116499,0.09695131856323473,radial,1.0540925533884058,6,"[(0, 1, 1), (0, 2, 2), (0, 3, 3), (1, 4, 1), (1, 5, 2), (1, 6, 3)]","[0, 1]",False,shared_edge,False,1,6,0,2,"[{""parent"": 0, ""children"": [1, 2, 3], ""circulation_log_ratio"": 1.2873122315804113, ""raw_weight_norm"": 0.2383962485308338, ""complex_eig_imag_max"": 0.12782327036486443}, {""parent"": 1, ""children"": [4, 5, 6], ""circulation_log_ratio"": 1.0325323363568861, ""raw_weight_norm"": 0.22859547159078264, ""complex_eig_imag_max"": 0.09604348605970203}]",1.2873122315804113,0.12782327036486443,1.1599222839686487,0.23349586006080822,0.11193337821228323,4,0.871065474747199,2,1.0077630064807568,0.9950721449619129,0.0,0.1702551221355794,"[[0.1702551221355794, 0.0], [0.03005007846514753, 0.0], [-0.017798513988044072, 0.0], [0.0010420878332047042, 0.0]]",0.8541838939094386,0.9351897797617437,0.2505928283634282,4,"[0.24241824275164583, 0.05593697984911535, 0.030019346288982174, 0.0002331139819268491]",0.5093923355004857,0.9861038511482663,0.8605343970611399,skew_markov,0.7350897420848687,False,0,True,ok,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]",5
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",False,2,0.9442486447774272,False,0.9645181798272318,0.9543834123023295,2,0.9645181798272318,6.999272781080358,0.678588725116499,0.09695131856323473,radial,1.0540925533884058,6,"[(0, 1, 1), (0, 2, 2), (0, 3, 3), (1, 4, 1), (1, 5, 2), (1, 6, 3)]","[0, 1]",False,shared_edge,False,1,6,0,2,"[{""parent"": 0, ""children"": [1, 2, 3], ""circulation_log_ratio"": 1.2873122315804113, ""raw_weight_norm"": 0.2383962485308338, ""complex_eig_imag_max"": 0.12782327036486443}, {""parent"": 1, ""children"": [4, 5, 6], ""circulation_log_ratio"": 1.0325323363568861, ""raw_weight_norm"": 0.22859547159078264, ""complex_eig_imag_max"": 0.09604348605970203}]",1.2873122315804113,0.12782327036486443,1.1599222839686487,0.23349586006080822,0.11193337821228323,4,0.873145690513482,2,1.919454556572434,0.804269902109731,0.0,1.291259270118872,"[[-1.291259270118872, 0.0], [0.8304014811894552, 0.0], [-0.2822723238159334, 0.0], [0.14324125632235682, 0.0]]",0.7536914645514469,0.6599692537691543,2.2557051952665828,4,"[2.016924988372816, 0.9778293158977049, 0.2352369734911437, 0.09345006422534062]",0.5084763625986235,0.8698916562300046,0.8610759482633261,forward_cycle,6.167758786271776,False,0,True,ok,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]",5
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",False,2,0.9733557460177518,False,0.9733557460177518,0.9196592981707437,2,0.8659628503237355,6.999272781080358,0.678588725116499,0.09695131856323473,radial,1.0540925533884058,6,"[(0, 1, 1), (0, 2, 2), (0, 3, 3), (1, 4, 1), (1, 5, 2), (1, 6, 3)]","[0, 1]",True,shared_edge,False,1,6,0,2,"[{""parent"": 0, ""children"": [1, 2, 3], ""circulation_log_ratio"": 1.2873122315804113, ""raw_weight_norm"": 0.2383962485308338, ""complex_eig_imag_max"": 0.12782327036486443}, {""parent"": 1, ""children"": [4, 5, 6], ""circulation_log_ratio"": 1.0325323363568861, ""raw_weight_norm"": 0.22859547159078264, ""complex_eig_imag_max"": 0.09604348605970203}]",1.2873122315804113,0.12782327036486443,1.1599222839686487,0.23349586006080822,0.11193337821228323,4,0.789738504386303,2,1.8041769555812874,0.7282436558923463,0.48605923367071074,0.7392622744357158,"[[0.7392622744357158, 0.48605923367071074], [0.7392622744357158, -0.48605923367071074], [-0.04460871684275533, 0.20399549220064994], [-0.04460871684275533, -0.20399549220064994]]",0.6188648365319585,0.7985367051794722,2.6713524197125293,4,"[2.522979794788234, 0.8397586807509467, 0.2475197834885857, 0.06508471617438578]",0.6797616661191449,0.7490265186683387,0.733433076206804,reverse_cycle,5.843646849914398,True,0,True,ok,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]",5
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",False,2,0.9548811799952447,False,0.9548811799952447,0.9140981811377173,2,0.8733151822801899,6.999272781080358,0.678588725116499,0.09695131856323473,radial,1.0540925533884058,6,"[(0, 1, 1), (0, 2, 2), (0, 3, 3), (1, 4, 1), (1, 5, 2), (1, 6, 3)]","[0, 1]",True,shared_edge,False,1,6,0,2,"[{""parent"": 0, ""children"": [1, 2, 3], ""circulation_log_ratio"": 1.2873122315804113, ""raw_weight_norm"": 0.2383962485308338, ""complex_eig_imag_max"": 0.12782327036486443}, {""parent"": 1, ""children"": [4, 5, 6], ""circulation_log_ratio"": 1.0325323363568861, ""raw_weight_norm"": 0.22859547159078264, ""complex_eig_imag_max"": 0.09604348605970203}]",1.2873122315804113,0.12782327036486443,1.1599222839686487,0.23349586006080822,0.11193337821228323,4,0.8353928975095326,2,1.2656153537285393,0.8670019947094841,0.12192343634080083,0.8750256902120125,"[[-0.8750256902120125, 0.0], [-0.004601042634991065, 0.12192343634080083], [-0.004601042634991065, -0.12192343634080083], [-0.11037021032246398, 0.0]]",0.8399379444737763,0.5829039159802882,1.298224056306091,4,"[1.17319566504113, 0.48094692468764155, 0.27857499691927173, 0.009146508922453061]",0.5272986936973787,0.8567781068664044,0.8496799913046661,cycle_difference,3.233111557118685,True,0,True,ok,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]",5
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",False,2,0.9563249653364334,False,0.9563249653364334,0.944608136819358,2,0.9328913083022826,6.999272781080358,0.678588725116499,0.09695131856323473,radial,1.0540925533884058,6,"[(0, 1, 1), (0, 2, 2), (0, 3, 3), (1, 4, 1), (1, 5, 2), (1, 6, 3)]","[0, 1]",False,shared_edge,False,1,6,0,2,"[{""parent"": 0, ""children"": [1, 2, 3], ""circulation_log_ratio"": 1.2873122315804113, ""raw_weight_norm"": 0.2383962485308338, ""complex_eig_imag_max"": 0.12782327036486443}, {""parent"": 1, ""children"": [4, 5, 6], ""circulation_log_ratio"": 1.0325323363568861, ""raw_weight_norm"": 0.22859547159078264, ""complex_eig_imag_max"": 0.09604348605970203}]",1.2873122315804113,0.12782327036486443,1.1599222839686487,0.23349586006080822,0.11193337821228323,4,0.8348652594589253,2,1.2598770759495583,0.7209744450014357,0.0,0.7080766168319146,"[[-0.39774542432734494, 0.0], [-0.16744209156415596, 0.0], [0.7080766168319146, 0.0], [0.2518200284410486, 0.0]]",0.673387780137126,0.7397235733894726,2.1039912401805476,4,"[2.0445138917119814, 0.3994575699252887, 0.29099645095212734, 0.049967996916548456]",0.6443389062196487,0.8628150618004996,0.7647400695208247,cycle_sum,5.0637652132873585,False,0,True,ok,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]",5
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",False,2,0.9376481729607594,False,0.9376481729607594,0.9260922182217715,2,0.9145362634827835,6.999272781080358,0.678588725116499,0.09695131856323473,radial,1.0540925533884058,6,"[(0, 1, 1), (0, 2, 2), (0, 3, 3), (1, 4, 1), (1, 5, 2), (1, 6, 3)]","[0, 1]",True,shared_edge,False,1,6,0,2,"[{""parent"": 0, ""children"": [1, 2, 3], ""circulation_log_ratio"": 1.2873122315804113, ""raw_weight_norm"": 0.2383962485308338, ""complex_eig_imag_max"": 0.12782327036486443}, {""parent"": 1, ""children"": [4, 5, 6], ""circulation_log_ratio"": 1.0325323363568861, ""raw_weight_norm"": 0.22859547159078264, ""complex_eig_imag_max"": 0.09604348605970203}]",1.2873122315804113,0.12782327036486443,1.1599222839686487,0.23349586006080822,0.11193337821228323,4,0.8333363963734792,2,1.0241595634303302,0.990559579856504,0.05325974549385989,0.31127053953226325,"[[-0.31127053953226325, 0.0], [-0.00840028753939923, 0.05325974549385989], [-0.00840028753939923, -0.05325974549385989], [-0.012827941183512962, 0.0]]",0.914114127328365,0.7749996507808872,0.4089471917372388,4,"[0.3708743984420998, 0.1490157019465386, 0.08647778590905832, 0.002428853151596705]",0.47578585146702357,0.9697997599426745,0.8795611539505989,signed_C3_skew,1.0171470372174278,True,0,True,ok,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]",5
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",False,2,0.8412804528817065,False,0.9253014434245173,0.8832909481531119,2,0.9253014434245173,6.987767811932846,0.5793349419998619,0.08290701087743034,birth_q,1.0540925533884058,6,"[(0, 1, 1), (0, 2, 2), (0, 3, 3), (1, 4, 1), (1, 5, 2), (1, 6, 3)]","[0, 1]",False,shared_edge,False,1,6,0,2,"[{""parent"": 0, ""children"": [1, 2, 3], ""circulation_log_ratio"": 1.2873122315804113, ""raw_weight_norm"": 0.2383962485308338, ""complex_eig_imag_max"": 0.12782327036486443}, {""parent"": 1, ""children"": [4, 5, 6], ""circulation_log_ratio"": 1.0325323363568861, ""raw_weight_norm"": 0.22859547159078264, ""complex_eig_imag_max"": 0.09604348605970203}]",1.2873122315804113,0.12782327036486443,1.1599222839686487,0.23349586006080822,0.11193337821228323,4,0.7923157298180856,2,1.1208963059912733,0.8807643202532487,0.0,0.5513495630029334,"[[-0.24468983409534584, 0.0], [-0.016754520825917354, 0.0], [0.30828589480158186, 0.0], [0.5513495630029334, 0.0]]",0.6730993514325669,0.8851149731134108,0.6912400876764601,4,"[0.5704262278845277, 0.3093379559957451, 0.23761437637061014, 0.016619701404339157]",0.139634137975816,0.9631653742353291,0.990203164764109,markov,1.8829395120256234,False,0,True,ok,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]",5
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",False,2,0.8762498530707991,False,0.9025124486802295,0.8893811508755143,2,0.9025124486802295,6.987767811932846,0.5793349419998619,0.08290701087743034,birth_q,1.0540925533884058,6,"[(0, 1, 1), (0, 2, 2), (0, 3, 3), (1, 4, 1), (1, 5, 2), (1, 6, 3)]","[0, 1]",True,shared_edge,False,1,6,0,2,"[{""parent"": 0, ""children"": [1, 2, 3], ""circulation_log_ratio"": 1.2873122315804113, ""raw_weight_norm"": 0.2383962485308338, ""complex_eig_imag_max"": 0.12782327036486443}, {""parent"": 1, ""children"": [4, 5, 6], ""circulation_log_ratio"": 1.0325323363568861, ""raw_weight_norm"": 0.22859547159078264, ""complex_eig_imag_max"": 0.09604348605970203}]",1.2873122315804113,0.12782327036486443,1.1599222839686487,0.23349586006080822,0.11193337821228323,4,0.7905369297587154,2,0.998753536695904,0.9998710276553436,0.057107434604767277,0.03245846745369938,"[[0.014979728002486859, 0.057107434604767277], [0.014979728002486859, -0.057107434604767277], [-0.03245846745369938, 0.0], [-0.0029671489322674583, 0.0]]",0.9308463595172705,0.9283215287775951,0.15822014196568615,4,"[0.1499006931525496, 0.046225809622095444, 0.02051816228130295, 0.0023611559471876592]",0.7746566810476129,0.9949888666296678,0.632382025753149,skew_markov,0.6114879764955494,True,0,True,ok,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]",5
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",False,2,0.8402594816997254,False,0.9429683134886258,0.8916138975941756,2,0.9429683134886258,6.987767811932846,0.5793349419998619,0.08290701087743034,birth_q,1.0540925533884058,6,"[(0, 1, 1), (0, 2, 2), (0, 3, 3), (1, 4, 1), (1, 5, 2), (1, 6, 3)]","[0, 1]",False,shared_edge,False,1,6,0,2,"[{""parent"": 0, ""children"": [1, 2, 3], ""circulation_log_ratio"": 1.2873122315804113, ""raw_weight_norm"": 0.2383962485308338, ""complex_eig_imag_max"": 0.12782327036486443}, {""parent"": 1, ""children"": [4, 5, 6], ""circulation_log_ratio"": 1.0325323363568861, ""raw_weight_norm"": 0.22859547159078264, ""complex_eig_imag_max"": 0.09604348605970203}]",1.2873122315804113,0.12782327036486443,1.1599222839686487,0.23349586006080822,0.11193337821228323,4,0.8087469495233417,2,1.1890113645410458,0.8147841342798262,0.0,0.5651898052982796,"[[-0.3604605257315404, 0.0], [0.5651898052982796, 0.0], [0.5031220085202313, 0.0], [-0.010507425164726502, 0.0]]",0.6293102399291797,0.8238721910824786,1.1409748681778022,4,"[0.9789689510342886, 0.5466156158342731, 0.21110166381007234, 0.009534085531146957]",0.4797318091699399,0.9512984723142353,0.8774151761103653,forward_cycle,3.6257980689962896,False,0,True,ok,"[[0, 1, 2], [0, 2, 3], [1, 4, 6], [3, 4, 5]]",5
