A_invariant,A_rank_score,K_axial_a_norm,K_axial_b_norm,a_b_transport_cosine,cascade_index,decision_used_delta_beta,directed_imbalance,event_t,face_a,face_b,measured_delta_beta1,measured_delta_beta2,move_class,pair_index,pair_vec_a_norm,pair_vec_b_norm,transported_reversed_b_norm,transverse_complementarity
5.361892821641848,23.9509527019268,1.0572731497681254,0.14662445514215916,-0.06977274777580166,1,False,0.7805782412610942,6,"[3, 4, 5]","[0, 1, 2]",0,2,handle_candidate,0,1.0572098222997566,1.0572098223002129,0.14662445514221564,0.33612090443309484
4.513409010795025,18.55948681495985,0.14440613312128386,0.2981870722116588,0.3819805207533921,2,False,0.09351592750669213,6,"[1, 5, 6]","[0, 2, 3]",0,1,handle_candidate,1,0.3777100156008066,0.3777100156003692,0.2981870722106551,0.29618128445723796
3.673869417346004,18.442884901043044,0.4166081213867161,0.11420847820562426,0.27083922639061,1,False,0.3625873724970041,7,"[3, 5, 6]","[2, 4, 7]",0,1,handle_candidate,2,0.4608460278034778,0.4608460278012859,0.11420847820492334,1.2021022473190324
4.863624585991064,20.605435143877006,0.29877985300313054,0.1681611967551044,-0.9975463290561367,2,False,0.3816562664197485,7,"[2, 6, 7]","[0, 1, 3]",0,2,handle_candidate,3,0.1315590886570952,0.13155908865709626,0.168161196755107,0.4314936612016916
