JP_to_minusQ_resid,JQ_to_P_resid,J_lock_max_resid,J_lock_mean_resid,P_norm,Q_norm,candidate,max_J_lock_max_resid,max_J_lock_mean_resid,min_J_lock_max_resid,min_J_lock_mean_resid,pair_count
0.34789185586989824,0.3478918558698816,0.34789185586991245,0.3478918558698899,1.0,1.0,unit_C_eigen_raw_even_odd,0.5259471572933395,0.5259471572933168,0.13705091689310542,0.13705091689309984,4
0.35105805099090487,0.35105805099085274,0.351058050990908,0.35105805099087883,1.0,1.0,unit_C_eigen_transported_even_odd,0.5640562662065485,0.5640562662065352,0.10339126937406562,0.10339126937405942,4
0.3691508802048497,0.36915088020473075,0.36915088020485637,0.3691508802047902,0.41326668314021353,0.42555713258164957,C_eigen_transported_even_odd,0.5916443161051764,0.5916443161051632,0.13794476958952667,0.1379447695893885,4
0.37645660494624206,0.3764566049462479,0.3764566049462688,0.376456604946245,0.389839582985957,0.44182285876121385,C_eigen_raw_even_odd,0.6197457233935222,0.6197457233934687,0.1373732348422524,0.13737323484224317,4
0.7505476074067083,0.7505476074068409,0.7505476074068478,0.7505476074067746,0.044967240140221014,0.12462660852431201,harmonic_P_comm,0.8982969311261014,0.8982969311259956,0.6733965009932815,0.6733965009932678,4
0.794212541647657,0.7942125416477752,0.7942125416477885,0.794212541647716,0.25145662870827756,0.7796791659719331,P_comm,0.835885381638325,0.8358853816382192,0.7293590030597784,0.7293590030597615,4
0.8052756518632568,0.8052756518634343,0.8052756518634476,0.8052756518633456,0.044967240140221014,0.1745080546116454,harmonic_Q_comm,0.9435475472490371,0.943547547248961,0.6882390246411326,0.6882390246411059,4
0.8128140047463676,0.8128140047464896,0.8128140047464976,0.8128140047464286,0.25145662870827756,0.8836457175224486,Q_comm,0.8513585545224502,0.8513585545223971,0.775804098544273,0.7758040985442571,4
0.8330288662160803,0.8330288662160886,0.8330288662160913,0.8330288662160845,1.0,1.0,unit_harmonic_QP,0.9902111908107258,0.9902111908107252,0.7101553249167717,0.7101553249167669,4
0.8383469845331868,0.838346984533149,0.8383469845331868,0.8383469845331679,0.1745080546102957,0.12462660852360984,norm_matched_harmonic_QP,0.9905623330063993,0.9905623330063582,0.711525962948282,0.7115259629482796,4
0.8383469845332308,0.8383469845332857,0.8383469845332894,0.8383469845332583,0.12462660852431201,0.1745080546116454,harmonic_QP,0.9905623330064002,0.9905623330063607,0.7115259629483133,0.7115259629483058,4
0.9253114815021714,0.9253114815021679,0.9253114815021788,0.9253114815021697,1.0,1.0,unit_QP,0.9905640040795832,0.9905640040795824,0.8505172471702319,0.8505172471702178,4
0.9316387649613114,0.9316387649612936,0.9316387649613128,0.9316387649613024,0.883645717521361,0.7796791659712285,norm_matched_QP,0.9905648587388164,0.9905648587388135,0.8743420174897574,0.8743420174897509,4
0.9316387649613178,0.9316387649613304,0.9316387649613368,0.931638764961324,0.7796791659719331,0.8836457175224486,raw_QP,0.9905648587388146,0.9905648587388134,0.8743420174898741,0.874342017489836,4
