P_harmonic_ratio,Q_harmonic_ratio,allow_B_reuse_A_faces,assemblies_applied,assemblies_attempted,best_global_candidate,best_per_pair_max_J_lock_resid,best_per_pair_mean_J_lock_resid,beta0,beta1,beta2,beta3,context_connected,context_strong,decision_used_delta_beta_any,option,order,pair_A_count,pair_B_count,pair_H_coherence,pair_kappa_orientation_ratio,pair_transport_harmonic_ratio,pairings,selected_C_eigen_J_lock_mean_avg,selected_kappa_flip_abs_avg,signed_birth_over_abs_sum_ratio,variant
0.24880104631557917,0.38179479579105513,True,1,2,unit_C_eigen_raw_even_odd,0.676487618945614,0.4485530110320348,1,0,4,0,True,True,False,A_to_B_rescan_strong_reuseB,A_to_B_rescan,3,1,0.054707497637611055,0.02152804213954455,0.38179479579105513,4,0.49143315688516676,0.9999999999980294,-0.6246641039192367,real_growth
0.30478665264400706,0.30256353746579273,True,2,2,unit_C_eigen_raw_even_odd,0.41837474382596096,0.20888636621708123,1,0,6,0,True,True,False,A_to_B_rescan_strong_reuseB,A_to_B_rescan,2,2,0.04764130641473595,0.1077135369239651,0.30256353746579273,4,0.33136130613840686,0.8083799576359628,0.07042246953279575,no_backreaction
0.24880104631557917,0.38179479579105513,False,1,2,unit_C_eigen_raw_even_odd,0.676487618945614,0.4485530110320348,1,0,4,0,True,True,False,A_to_B_rescan_strong_noReuseB,A_to_B_rescan,3,1,0.054707497637611055,0.02152804213954455,0.38179479579105513,4,0.49143315688516676,0.9999999999980294,-0.6246641039192367,real_growth
0.30478665264400706,0.30256353746579273,False,2,2,unit_C_eigen_raw_even_odd,0.41837474382596096,0.20888636621708123,1,0,6,0,True,True,False,A_to_B_rescan_strong_noReuseB,A_to_B_rescan,2,2,0.04764130641473595,0.1077135369239651,0.30256353746579273,4,0.33136130613840686,0.8083799576359628,0.07042246953279575,no_backreaction
0.28466896934699415,0.33953382034715884,True,1,2,unit_C_eigen_transported_even_odd,0.6807751579395164,0.37132417135857865,1,0,4,0,True,True,False,B_to_A_rescan_strong_reuseB,B_to_A_rescan,0,0,0.09892863620175033,0.04532121297351327,0.33953382034715884,4,0.41687111465043986,0.9999999999988616,-0.6184862478721512,real_growth
0.2625402253330173,0.32703455167895723,True,1,2,unit_C_eigen_transported_even_odd,0.5845503812968681,0.334279049877991,1,0,4,0,True,True,False,B_to_A_rescan_strong_reuseB,B_to_A_rescan,0,0,0.08792880703875951,0.049533768961049975,0.32703455167895723,4,0.39853187237107246,0.9999999999989144,-0.5621675551049349,no_backreaction
0.28466896934699415,0.33953382034715884,False,1,2,unit_C_eigen_transported_even_odd,0.6807751579395164,0.37132417135857865,1,0,4,0,True,True,False,B_to_A_rescan_strong_noReuseB,B_to_A_rescan,0,0,0.09892863620175033,0.04532121297351327,0.33953382034715884,4,0.41687111465043986,0.9999999999988616,-0.6184862478721512,real_growth
0.2625402253330173,0.32703455167895723,False,1,2,unit_C_eigen_transported_even_odd,0.5845503812968681,0.334279049877991,1,0,4,0,True,True,False,B_to_A_rescan_strong_noReuseB,B_to_A_rescan,0,0,0.08792880703875951,0.049533768961049975,0.32703455167895723,4,0.39853187237107246,0.9999999999989144,-0.5621675551049349,no_backreaction
0.3330580940895806,0.25221000379860337,True,1,2,unit_C_eigen_raw_even_odd,0.6144518237319643,0.32588326379109256,1,0,6,0,True,True,False,stale_same_scan_strong_reuseB,stale_same_scan,0,0,0.055911964210431334,0.022622574886175563,0.25221000379860337,4,0.39002825893250337,0.893968113413603,-0.24161844311217076,real_growth
0.2938269497432899,0.3454426514050435,True,0,3,unit_C_eigen_transported_even_odd,0.5845503812968681,0.3348314411435105,1,0,4,0,True,True,False,stale_same_scan_strong_reuseB,stale_same_scan,0,0,0.07744564792103945,0.05191075271343003,0.3454426514050435,4,0.3866579097072899,0.8749579410136017,-0.41027891578930287,no_backreaction
0.3330580940895806,0.25221000379860337,False,1,2,unit_C_eigen_raw_even_odd,0.6144518237319643,0.32588326379109256,1,0,6,0,True,True,False,stale_same_scan_strong_noReuseB,stale_same_scan,0,0,0.055911964210431334,0.022622574886175563,0.25221000379860337,4,0.39002825893250337,0.893968113413603,-0.24161844311217076,real_growth
0.2938269497432899,0.3454426514050435,False,0,3,unit_C_eigen_transported_even_odd,0.5845503812968681,0.3348314411435105,1,0,4,0,True,True,False,stale_same_scan_strong_noReuseB,stale_same_scan,0,0,0.07744564792103945,0.05191075271343003,0.3454426514050435,4,0.3866579097072899,0.8749579410136017,-0.41027891578930287,no_backreaction
