A_gate_identity,A_gate_kappa,C_lock_identity,C_lock_kappa,C_lock_max_worst,C_lock_worst,P_norm_identity,P_norm_kappa,QP_balance_identity,QP_balance_kappa,QP_balance_min,Q_norm_identity,Q_norm_kappa,beta2_opening_identity,beta2_opening_kappa,candidate_id_identity,candidate_id_kappa,candidate_pair_key,cascade_index,comm_abs_area_identity,comm_abs_area_kappa,decision_used_delta_beta,delta_beta2_identity,delta_beta2_kappa,directed_imbalance_avg,directed_imbalance_identity,directed_imbalance_kappa,event_t,kappa_pareto_score,move_class_identity,move_class_kappa,passes_A_gate_both,passes_C_lock_worst,passes_QP_proxy,passes_all_including_beta2_audit,passes_all_kappa_pareto_gate,passes_beta2_audit_both,passes_kappa_signed_flip,scan_id,selected_A_identity,selected_A_kappa,signed_amplitude_avg,signed_amplitude_balance_zero_if_equal,signed_amplitude_min,signed_birth_identity,signed_birth_kappa,signed_flip_abs,signed_flip_score_zero_if_perfect,transport_cosine_identity,transport_cosine_kappa,transverse_complementarity_avg,transverse_complementarity_identity,transverse_complementarity_kappa,variant,beta_delta_min,beta_bool,C_good_score,flip_good_score,transport_cosine_avg,comm_abs_area_avg
True,True,0.1033912693740594,0.5738941546983636,0.5738941546983792,0.5738941546983636,1.5237833702768515,1.3018019290078229,0.981189648170306,0.8517643621714247,0.8517643621714247,1.4951204689706885,1.1088284897357303,True,True,32,30,handle_candidate|0 1 2|3 4 5,1,0.309288594087467,0.6985212657842731,False,2,2,0.7805782412610942,0.7805782412610942,0.7805782412610942,6,3.313794373007003e-13,handle_candidate,handle_candidate,True,False,True,False,False,True,False,0,False,False,0.3388797945335332,0.196287687989325,0.2723618631581503,-0.2723618631581503,-0.405397725908916,0.9999999999985246,-0.9999999999985246,-0.0697727477758016,-0.1642295713719364,0.3361209044330948,0.3361209044330948,0.3361209044330948,no_backreaction,2,1,0.42610584530162077,1.4753753774243705e-12,-0.117001159573869,0.50390492993587
True,True,0.1687546316652809,0.9199740832345974,0.9199740832345976,0.9199740832345974,0.4899665625568022,0.5055656904408572,0.9021308188284116,0.4732429572333897,0.4732429572333897,0.4420139362788122,1.068300505507689,True,True,34,34,handle_candidate|0 1 2|4 5 6,1,0.0859527321448528,0.1811829329162494,False,1,1,0.5902665693185405,0.5902665693185405,0.5902665693185405,6,0.0004152216147231,handle_candidate,handle_candidate,True,False,True,False,False,True,False,0,True,True,0.1277828344711903,0.8911857565537625,0.0139045924579527,-0.0139045924579527,0.2416610764844278,0.8911857565537625,0.8911857565537625,-0.128902443418254,0.773917379068412,0.4194140567356499,0.4194140567356499,0.4194140567356499,no_backreaction,1,1,0.08002591676540238,0.10881424344623747,0.322507467825079,0.1335678325305511
True,True,0.1687546316652809,0.9199740832345974,0.9199740832345976,0.9199740832345974,0.4899665625568022,0.5055656904408572,0.9021308188284116,0.4732429572333897,0.4732429572333897,0.4420139362788122,1.068300505507689,False,False,35,35,quotient_candidate|0 1 2|4 5 6,1,0.0859527321448528,0.1811829329162494,False,0,0,0.5902665693185405,0.5902665693185405,0.5902665693185405,6,0.0004152216147231,quotient_candidate,quotient_candidate,True,False,True,False,False,False,False,0,False,False,0.1277828344711903,0.8911857565537625,0.0139045924579527,-0.0139045924579527,0.2416610764844278,0.8911857565537625,0.8911857565537625,-0.128902443418254,0.773917379068412,0.4194140567356499,0.4194140567356499,0.4194140567356499,no_backreaction,0,0,0.08002591676540238,0.10881424344623747,0.322507467825079,0.1335678325305511
True,True,0.4435102591428326,0.5802963122490538,0.5802963122490564,0.5802963122490538,0.4740021093098355,0.5464178120166039,0.9718477252593068,0.7573191961167755,0.7573191961167755,0.4877328999071241,0.4138126981410591,True,True,36,36,handle_candidate|0 1 3|4 5 6,1,0.0993522781584477,0.108575845592025,False,1,1,0.5902665693185405,0.5902665693185405,0.5902665693185405,6,2.974302740142579e-13,handle_candidate,handle_candidate,True,False,True,False,False,True,False,0,False,False,0.5497034384576078,0.0044212670134788,0.547273052777957,-0.547273052777957,-0.5521338241372585,0.9999999999990904,-0.9999999999990904,0.0332103550272162,-0.2813429871685541,0.3417300614853196,0.3417300614853196,0.3417300614853196,no_backreaction,1,1,0.4197036877509436,9.096057240753908e-13,-0.12406631607066895,0.10396406187523635
True,True,0.4435102591428326,0.5802963122490538,0.5802963122490564,0.5802963122490538,0.4740021093098355,0.5464178120166039,0.9718477252593068,0.7573191961167755,0.7573191961167755,0.4877328999071241,0.4138126981410591,False,False,37,37,quotient_candidate|0 1 3|4 5 6,1,0.0993522781584477,0.108575845592025,False,0,0,0.5902665693185405,0.5902665693185405,0.5902665693185405,6,2.974302740142579e-13,quotient_candidate,quotient_candidate,True,False,True,False,False,False,False,0,False,False,0.5497034384576078,0.0044212670134788,0.547273052777957,-0.547273052777957,-0.5521338241372585,0.9999999999990904,-0.9999999999990904,0.0332103550272162,-0.2813429871685541,0.3417300614853196,0.3417300614853196,0.3417300614853196,no_backreaction,0,0,0.4197036877509436,9.096057240753908e-13,-0.12406631607066895,0.10396406187523635
True,True,0.7102510314009169,0.4923693582065547,0.7102510314009614,0.7102510314009169,0.6367681827523352,0.5480328689200781,0.8596395481411025,0.722177248807526,0.722177248807526,0.547391112892708,0.7588619965864047,False,False,43,43,quotient_candidate|0 2 3|4 5 6,1,0.1742736993197364,0.1957743045033681,False,0,0,0.1955702488706007,0.1955702488706007,0.1955702488706007,6,6.60725272381786e-14,quotient_candidate,quotient_candidate,True,False,True,False,False,False,False,0,False,False,0.5675774974553892,0.4123014662665041,0.333564463034453,0.333564463034453,0.8015905318763253,0.999999999999119,0.999999999999119,-0.1501052107457827,0.3319033154484389,0.281228066820324,0.281228066820324,0.281228066820324,no_backreaction,0,0,0.28974896859903865,8.809619700400617e-13,0.09089905235132809,0.18502400191155227
True,True,0.9082745035097648,0.3769330010234208,0.9082745035104552,0.9082745035097648,0.3921032179097045,0.5039450979918914,0.7340521375045793,0.7688132048700318,0.7340521375045793,0.5341626267065047,0.6554844464154523,False,False,41,41,quotient_candidate|0 2 3|1 5 6,1,0.0795896303953736,0.1153276804703673,False,0,0,0.0935159275066921,0.0935159275066921,0.0935159275066921,6,0.0450198572542083,quotient_candidate,quotient_candidate,True,False,True,False,False,False,True,0,False,False,0.5331895142625871,0.2335198305483319,0.4086791892417235,0.6576998392834505,-0.4086791892417235,0.2335198305483319,0.2335198305483319,0.3819805207533921,0.3559277134240756,0.2961812844572379,0.2961812844572379,0.2961812844572379,no_backreaction,0,0,0.09172549648954476,0.7664801694516681,0.3689541170887338,0.09745865543287045
True,True,0.1317270012661265,0.4801933101603013,0.480193310160308,0.4801933101603013,1.341029181926409,1.4034015072585428,0.9087879686336656,0.923344073918501,0.9087879686336656,1.4756238288912384,1.2958224650563912,True,True,48,48,handle_candidate|0 1 2|3 4 7,1,0.2732101829376954,0.8338047449832565,False,2,2,0.873146979115577,0.873146979115577,0.873146979115577,7,2.692009228863598e-13,handle_candidate,handle_candidate,True,False,True,False,False,True,False,1,True,True,0.1497541949662762,0.5336312963035151,0.069840669779266,0.2296677201532863,0.069840669779266,0.9999999999966612,0.9999999999966612,0.3277399789214513,-0.0867366042424017,0.3496754174606368,0.3496754174606368,0.3496754174606368,no_backreaction,2,1,0.519806689839692,3.3387737019552333e-12,0.1205016873395248,0.553507463960476
True,True,0.1033912693740594,0.5738941546983636,0.5738941546983792,0.5738941546983636,1.5237833702768515,1.3018019290078229,0.981189648170306,0.8517643621714247,0.8517643621714247,1.4951204689706885,1.1088284897357303,True,True,50,50,handle_candidate|0 1 2|3 4 5,1,0.309288594087467,0.6985212657842731,False,2,2,0.7805782412610942,0.7805782412610942,0.7805782412610942,7,3.313794373007003e-13,handle_candidate,handle_candidate,True,False,True,False,False,True,False,1,False,False,0.3388797945335332,0.196287687989325,0.2723618631581503,-0.2723618631581503,-0.405397725908916,0.9999999999985246,-0.9999999999985246,-0.0697727477758016,-0.1642295713719364,0.3361209044330948,0.3361209044330948,0.3361209044330948,no_backreaction,2,1,0.42610584530162077,1.4753753774243705e-12,-0.117001159573869,0.50390492993587
True,True,0.1687546316652809,0.9199740832345974,0.9199740832345976,0.9199740832345974,0.4899665625568022,0.5055656904408572,0.9021308188284116,0.4732429572333897,0.4732429572333897,0.4420139362788122,1.068300505507689,True,True,60,62,handle_candidate|0 1 2|4 5 6,1,0.0859527321448528,0.1811829329162494,False,1,1,0.5902665693185405,0.5902665693185405,0.5902665693185405,7,0.0004152216147231,handle_candidate,handle_candidate,True,False,True,False,False,True,False,1,False,False,0.1277828344711903,0.8911857565537625,0.0139045924579527,-0.0139045924579527,0.2416610764844278,0.8911857565537625,0.8911857565537625,-0.128902443418254,0.773917379068412,0.4194140567356499,0.4194140567356499,0.4194140567356499,no_backreaction,1,1,0.08002591676540238,0.10881424344623747,0.322507467825079,0.1335678325305511
