A_invariant,A_rank_score,K_axial_a_norm,K_axial_b_norm,a_b_transport_cosine,cascade_index,decision_used_delta_beta,directed_imbalance,event_t,face_a,face_b,measured_delta_beta1,measured_delta_beta2,move_class,pair_index,pair_vec_a_norm,pair_vec_b_norm,transported_reversed_b_norm,transverse_complementarity
5.361892821641848,23.9509527019268,1.0572731497681256,0.14662445514215916,0.016333757080900277,1,False,0.7805782412610942,6,"[3, 4, 5]","[0, 1, 2]",0,2,handle_candidate,0,1.0697613896087974,1.0697613896053952,0.14662445514174327,0.33612090443309484
4.5380476086651615,18.856887784898852,0.4206846073567767,0.2981870722116588,0.7113022689892016,2,False,0.12206187543724384,6,"[1, 4, 6]","[0, 2, 3]",0,1,handle_candidate,1,0.6665931588199132,0.6665931588200124,0.29818707221174384,0.26550234612555595
4.31320564185072,20.55885413065504,0.3310824967151303,0.21825450349764755,0.26186690735156243,1,False,0.423235415122236,7,"[0, 1, 6]","[2, 5, 7]",0,2,handle_candidate,2,0.4416964819699477,0.44169648196873623,0.21825450349737857,1.0086209735782137
4.846677563880217,23.586301754988746,1.4815910088419295,0.35757135765690184,0.40650121959349256,2,False,0.4276784001543305,7,"[2, 3, 4]","[5, 6, 7]",0,1,handle_candidate,3,1.659420730538192,1.6594207305291164,0.3575713576528684,1.2803267011291495
