A_gate_identity,A_gate_kappa,C_lock_identity,C_lock_kappa,C_lock_max_worst,C_lock_worst,P_norm_identity,P_norm_kappa,QP_balance_identity,QP_balance_kappa,QP_balance_min,Q_norm_identity,Q_norm_kappa,beta2_opening_identity,beta2_opening_kappa,candidate_id_identity,candidate_id_kappa,candidate_pair_key,cascade_index,comm_abs_area_identity,comm_abs_area_kappa,decision_used_delta_beta,delta_beta2_identity,delta_beta2_kappa,directed_imbalance_avg,directed_imbalance_identity,directed_imbalance_kappa,event_t,kappa_pareto_score,move_class_identity,move_class_kappa,passes_A_gate_both,passes_C_lock_worst,passes_QP_proxy,passes_all_including_beta2_audit,passes_all_kappa_pareto_gate,passes_beta2_audit_both,passes_kappa_signed_flip,scan_id,selected_A_identity,selected_A_kappa,signed_amplitude_avg,signed_amplitude_balance_zero_if_equal,signed_amplitude_min,signed_birth_identity,signed_birth_kappa,signed_flip_abs,signed_flip_score_zero_if_perfect,transport_cosine_identity,transport_cosine_kappa,transverse_complementarity_avg,transverse_complementarity_identity,transverse_complementarity_kappa,variant
True,True,0.09118930583827459,0.18654365237465342,0.18654365237492018,0.18654365237465342,2.685010502253396,1.4598764198232226,0.40543334109763723,0.5827618750425988,0.40543334109763723,1.0885927788112448,0.8507603197472401,False,False,214,224,handle_candidate|3 4 5|10 11 12,1,0.2654251750918837,0.2895851947999306,False,0,0,0.265945149341554,0.265945149341554,0.265945149341554,12,0.12471148050295758,handle_candidate,handle_candidate,True,True,True,False,True,False,True,6,False,False,0.28027288779126497,0.02905571670802118,0.27212935816264844,0.2884164174198815,-0.27212935816264844,0.02905571670802118,0.02905571670802118,-0.984822750935204,-0.7721273764668718,0.28373420098680285,0.28373420098680285,0.28373420098680285,real_growth
True,True,0.1340667577803703,0.09071299756063453,0.13406675778037508,0.1340667577803703,1.6417835852972467,1.1000841630591698,0.8214184470304525,0.916757292903021,0.8214184470304525,1.9987176952644687,1.0085101792925268,False,False,106,106,handle_candidate|1 5 6|3 7 8,1,0.43596335852073176,0.12858407156947932,False,0,0,0.056234329803875736,0.056234329803875736,0.056234329803875736,8,0.270556935439269,handle_candidate,handle_candidate,True,True,True,False,True,False,True,2,False,False,0.42889076978226115,0.056761226399675103,0.4045464036978909,-0.4045464036978909,0.4532351358666314,0.056761226399675103,0.056761226399675103,0.5975041808676076,-0.3514685521087851,0.2688307612369465,0.2688307612369465,0.2688307612369465,real_growth
True,True,0.1340667577803703,0.09071299756063453,0.13406675778037508,0.1340667577803703,1.6417835852972467,1.1000841630591698,0.8214184470304525,0.916757292903021,0.8214184470304525,1.9987176952644687,1.0085101792925268,False,False,142,148,handle_candidate|1 5 6|3 7 8,1,0.43596335852073176,0.12858407156947932,False,0,0,0.056234329803875736,0.056234329803875736,0.056234329803875736,9,0.270556935439269,handle_candidate,handle_candidate,True,True,True,False,True,False,True,3,False,False,0.42889076978226115,0.056761226399675103,0.4045464036978909,-0.4045464036978909,0.4532351358666314,0.056761226399675103,0.056761226399675103,0.5975041808676076,-0.3514685521087851,0.2688307612369465,0.2688307612369465,0.2688307612369465,real_growth
True,True,0.1529507010406481,0.6171211958586544,0.6171211958586748,0.6171211958586544,1.2929592762685849,1.4902683527104246,0.9913445718218821,0.5541108844114223,0.5541108844114223,1.3042481020412582,2.689476771951225,True,True,134,132,handle_candidate|0 1 2|3 7 10,1,0.4375806899317687,1.9462771636478298,False,1,1,0.44618438973807645,0.44618438973807645,0.44618438973807645,10,0.26574469137714357,handle_candidate,handle_candidate,True,False,True,False,False,True,True,4,False,False,0.6586523585097785,0.014467866013737275,0.6491230644372198,0.6491230644372198,-0.6681816525823373,0.014467866013737275,-0.014467866013737275,0.01674851618152517,0.5413438154315665,0.46837389956705544,0.46837389956705544,0.46837389956705544,real_growth
True,True,0.1529507010406481,0.6171211958586544,0.6171211958586748,0.6171211958586544,1.2929592762685849,1.4902683527104246,0.9913445718218821,0.5541108844114223,0.5541108844114223,1.3042481020412582,2.689476771951225,True,True,172,168,handle_candidate|0 1 2|3 7 10,1,0.4375806899317687,1.9462771636478298,False,1,1,0.44618438973807645,0.44618438973807645,0.44618438973807645,11,0.26574469137714357,handle_candidate,handle_candidate,True,False,True,False,False,True,True,5,False,False,0.6586523585097785,0.014467866013737275,0.6491230644372198,0.6491230644372198,-0.6681816525823373,0.014467866013737275,-0.014467866013737275,0.01674851618152517,0.5413438154315665,0.46837389956705544,0.46837389956705544,0.46837389956705544,real_growth
True,True,0.1529507010406481,0.6171211958586544,0.6171211958586748,0.6171211958586544,1.2929592762685849,1.4902683527104246,0.9913445718218821,0.5541108844114223,0.5541108844114223,1.3042481020412582,2.689476771951225,True,True,188,184,handle_candidate|0 1 2|3 7 10,1,0.4375806899317687,1.9462771636478298,False,1,1,0.44618438973807645,0.44618438973807645,0.44618438973807645,12,0.26574469137714357,handle_candidate,handle_candidate,True,False,True,False,False,True,True,6,False,False,0.6586523585097785,0.014467866013737275,0.6491230644372198,0.6491230644372198,-0.6681816525823373,0.014467866013737275,-0.014467866013737275,0.01674851618152517,0.5413438154315665,0.46837389956705544,0.46837389956705544,0.46837389956705544,real_growth
True,True,0.4681646059722285,0.44410808249022804,0.4681646059723449,0.4681646059722285,1.594181633233734,1.3753162525882752,0.9241580357000329,0.49852802074426633,0.49852802074426633,1.7250097620211096,2.7587541629746886,True,True,214,204,handle_candidate|2 7 9|8 10 11,1,1.1506992154633866,1.5097299929623442,False,1,1,0.08689570332048668,0.08689570332048668,0.08689570332048668,11,0.11069216209164048,handle_candidate,handle_candidate,True,False,True,False,False,True,True,5,False,False,0.39798408811291985,0.0497211681321916,0.3781958543538955,-0.41777232187194413,0.3781958543538955,0.0497211681321916,-0.0497211681321916,0.09392634220481079,0.687627269967374,0.7002365910822657,0.7002365910822657,0.7002365910822657,real_growth
True,True,0.4681646059722285,0.44410808249022804,0.4681646059723449,0.4681646059722285,1.594181633233734,1.3753162525882752,0.9241580357000329,0.49852802074426633,0.49852802074426633,1.7250097620211096,2.7587541629746886,False,False,215,205,quotient_candidate|2 7 9|8 10 11,1,1.1506992154633866,1.5097299929623442,False,0,0,0.08689570332048668,0.08689570332048668,0.08689570332048668,11,0.11069216209164048,quotient_candidate,quotient_candidate,True,False,True,False,False,False,True,5,False,False,0.39798408811291985,0.0497211681321916,0.3781958543538955,-0.41777232187194413,0.3781958543538955,0.0497211681321916,-0.0497211681321916,0.09392634220481079,0.687627269967374,0.7002365910822657,0.7002365910822657,0.7002365910822657,real_growth
True,True,0.4681646059722285,0.44410808249022804,0.4681646059723449,0.4681646059722285,1.594181633233734,1.3753162525882752,0.9241580357000329,0.49852802074426633,0.49852802074426633,1.7250097620211096,2.7587541629746886,True,True,244,232,handle_candidate|2 7 9|8 10 11,1,1.1506992154633866,1.5097299929623442,False,1,1,0.08689570332048668,0.08689570332048668,0.08689570332048668,12,0.11069216209164048,handle_candidate,handle_candidate,True,False,True,False,False,True,True,6,False,False,0.39798408811291985,0.0497211681321916,0.3781958543538955,-0.41777232187194413,0.3781958543538955,0.0497211681321916,-0.0497211681321916,0.09392634220481079,0.687627269967374,0.7002365910822657,0.7002365910822657,0.7002365910822657,real_growth
True,True,0.4681646059722285,0.44410808249022804,0.4681646059723449,0.4681646059722285,1.594181633233734,1.3753162525882752,0.9241580357000329,0.49852802074426633,0.49852802074426633,1.7250097620211096,2.7587541629746886,False,False,245,233,quotient_candidate|2 7 9|8 10 11,1,1.1506992154633866,1.5097299929623442,False,0,0,0.08689570332048668,0.08689570332048668,0.08689570332048668,12,0.11069216209164048,quotient_candidate,quotient_candidate,True,False,True,False,False,False,True,6,False,False,0.39798408811291985,0.0497211681321916,0.3781958543538955,-0.41777232187194413,0.3781958543538955,0.0497211681321916,-0.0497211681321916,0.09392634220481079,0.687627269967374,0.7002365910822657,0.7002365910822657,0.7002365910822657,real_growth
True,True,0.3468264574751874,0.0781268220290985,0.3468264574753733,0.3468264574751874,0.9224014167620842,0.5129841884116385,0.6981893596032225,0.6780209314702447,0.6780209314702447,0.6440108544669229,0.7565904894684997,False,False,91,99,quotient_candidate|1 5 6|2 3 8,1,0.19323931112475157,0.030229817882599312,False,0,0,0.15738584372236297,0.15738584372236297,0.15738584372236297,8,0.2514673339230173,quotient_candidate,quotient_candidate,True,False,True,False,False,False,True,2,False,False,0.3772553075555647,0.10146506420670638,0.3389770735520678,-0.4155335415590615,0.3389770735520678,0.10146506420670638,-0.10146506420670638,-0.49136155725507663,0.931346898060427,0.9361179243215271,0.9361179243215271,0.9361179243215271,real_growth
