JP_to_minusQ_resid,JQ_to_P_resid,J_lock_max_resid,J_lock_mean_resid,P_norm,Q_norm,candidate,max_J_lock_max_resid,max_J_lock_mean_resid,min_J_lock_max_resid,min_J_lock_mean_resid,pair_count
0.3397762180177575,0.3397762180185765,0.3397762180185818,0.33977621801816704,0.9999999999999999,0.9999999999999999,unit_C_eigen_raw_even_odd,0.9082745035104552,0.9082745035097649,0.05738690117507655,0.05738690117506584,4
0.4085376687743784,0.40853766877520825,0.40853766877520825,0.40853766877479336,1.0,1.0,unit_C_eigen_transported_even_odd,0.9593482850439571,0.9593482850435425,0.10339126937406562,0.10339126937405942,4
0.4687803889396284,0.4687803889399063,0.46878038893991425,0.46878038893976737,0.392877885752619,0.3583838057243023,C_eigen_raw_even_odd,0.9105381658920649,0.9105381658916689,0.1373732348422524,0.13737323484224317,4
0.477411875196018,0.477411875196332,0.47741187519656614,0.477411875196175,0.3945695311656637,0.3528818585199607,C_eigen_transported_even_odd,0.9655984274623596,0.9655984274620311,0.13794476958952667,0.1379447695893885,4
0.7882127360605715,0.7882127360588789,0.7882127360606465,0.7882127360597253,0.031547987226009225,0.1010576307777275,harmonic_Q_comm,0.8706752182834867,0.8706752182834674,0.7155521934753626,0.7155521934730238,4
0.7931854692628257,0.7931854692629601,0.7931854692629693,0.793185469262893,1.0,0.9999999999999999,unit_harmonic_QP,0.9601735940169067,0.9601735940169054,0.6633450403395641,0.6633450403395471,4
0.806760394828927,0.8067603948282718,0.8067603948289328,0.8067603948285994,0.10105763077677811,0.13237210502586522,norm_matched_harmonic_QP,0.9603380519958512,0.9603380519958367,0.6727306844584674,0.6727306844577805,4
0.8067603948283711,0.8067603948293053,0.8067603948293057,0.8067603948288382,0.132372105027741,0.1010576307777275,harmonic_QP,0.96033805199585,0.9603380519958382,0.6727306844585956,0.6727306844579428,4
0.8328988637297704,0.8328988637276019,0.832898863729844,0.8328988637286862,0.031547987226009225,0.132372105027741,harmonic_P_comm,0.9305611179297645,0.9305611179277671,0.7297343596100789,0.7297343596099388,4
0.8434658752243692,0.8434658752252451,0.8434658752252453,0.8434658752248071,1.0,1.0,unit_QP,0.9983520138571023,0.9983520138571017,0.41837474382596096,0.41837474382446227,4
0.849281620580799,0.8492816205820778,0.8492816205820778,0.8492816205814384,0.7167676114466384,0.7857557715017414,norm_matched_QP,0.9988694411604903,0.9988694411604881,0.440955721594195,0.44095572159210206,4
0.8492816205813067,0.8492816205817373,0.8492816205817397,0.849281620581522,0.7857557715046763,0.7167676114483498,raw_QP,0.9988694411604959,0.9988694411604921,0.4409557215931846,0.44095572159236673,4
0.8592438863705132,0.8592438863682577,0.8592438863705951,0.8592438863693855,0.1723632600255376,0.7857557715046763,P_comm,0.9852611462209819,0.9852611462209756,0.8083436380403107,0.8083436380382105,4
0.8628223152884875,0.8628223152874559,0.8628223152885686,0.8628223152879717,0.1723632600255376,0.7167676114483498,Q_comm,0.950596499398743,0.9505964993987395,0.8060913857110256,0.8060913857108668,4
