A_area_abs,A_face_a,A_face_b,A_signed_birth_over_abs,B_area_abs,B_face_a,B_face_b,B_signed_birth_over_abs,assembly_index,base_union_J_P_to_Q_subspace_resid,base_union_J_QP_subspace_max_resid,base_union_J_QP_subspace_mean_resid,base_union_J_Q_to_P_subspace_resid,base_union_J_span_leakage,base_union_P_norm,base_union_P_rank,base_union_Q_norm,base_union_Q_rank,base_union_basis_rank,base_union_gate_pass,base_union_projected_CJC_plus_J_resid,base_union_projected_J2_plus_I_resid,base_union_projected_J_skew_resid,context,edge_interface_J_P_to_Q_subspace_resid,edge_interface_J_QP_subspace_max_resid,edge_interface_J_QP_subspace_mean_resid,edge_interface_J_Q_to_P_subspace_resid,edge_interface_J_span_leakage,edge_interface_P_norm,edge_interface_P_rank,edge_interface_Q_norm,edge_interface_Q_rank,edge_interface_basis_rank,edge_interface_gate_pass,edge_interface_improves_J2,edge_interface_improves_mean,edge_interface_projected_CJC_plus_J_resid,edge_interface_projected_J2_plus_I_resid,edge_interface_projected_J_skew_resid,interface_links,interface_mode,interface_only_J_P_to_Q_subspace_resid,interface_only_J_QP_subspace_max_resid,interface_only_J_QP_subspace_mean_resid,interface_only_J_Q_to_P_subspace_resid,interface_only_J_span_leakage,interface_only_P_norm,interface_only_P_rank,interface_only_Q_norm,interface_only_Q_rank,interface_only_basis_rank,interface_only_gate_pass,interface_only_projected_CJC_plus_J_resid,interface_only_projected_J2_plus_I_resid,interface_only_projected_J_skew_resid,interface_operator_norm,interface_scale,lambda_used,motif_signed_birth_over_abs_weighted,pair_local_max_J_lock_raw_QP,pair_local_mean_J_lock_raw_QP,shared_edge_link_count,union_face_count
0.309288594087467,"[3, 4, 5]","[0, 1, 2]",-0.2723618631581503,0.17634391430116558,"[1, 4, 6]","[0, 2, 3]",-0.7544379084838614,0,0.661107728362216,0.6611077283622593,0.6611077283622376,0.6611077283622593,0.6611077283623745,1.580122513087456,2,1.7675061797646656,2,4,False,7.824737297996385e-13,0.5683682244560397,2.059071030366983e-16,shared_edge,0.7426335226381676,0.7426335226381933,0.7426335226381804,0.7426335226381933,0.6665941469495857,1.580122513087456,2,1.7675061797646656,2,4,False,False,False,1.0237268274973155,0.760930181805865,1.7459745152963537e-16,"[0, 1, 2]->[0, 2, 3]@[0, 2]:s=+1",incidence_identity,0.883395036117246,0.8833950361172523,0.8833950361172491,0.8833950361172523,0.6774336965644615,1.580122513087456,2,1.7675061797646656,2,4,False,0.4713396639119523,0.776318974272823,2.0802992924988608e-33,2.449489742783178,unit,1.0,-0.44741434699039717,0.9905648587388146,0.9324534381143247,1,4
0.309288594087467,"[3, 4, 5]","[0, 1, 2]",-0.2723618631581503,0.17634391430116558,"[1, 4, 6]","[0, 2, 3]",-0.7544379084838614,0,0.661107728362216,0.6611077283622593,0.6611077283622376,0.6611077283622593,0.6611077283623745,1.580122513087456,2,1.7675061797646656,2,4,False,7.824737297996385e-13,0.5683682244560397,2.059071030366983e-16,shared_edge,0.7111456255702165,0.7111456255702485,0.7111456255702325,0.7111456255702485,0.6644050161224309,1.580122513087456,2,1.7675061797646656,2,4,False,False,False,0.8100010572423915,0.6442747130948503,1.9220296282308294e-16,"[0, 1, 2]->[0, 2, 3]@[0, 2]:s=+1",incidence_identity,0.883395036117246,0.8833950361172523,0.8833950361172491,0.8833950361172523,0.6774336965644615,1.580122513087456,2,1.7675061797646656,2,4,False,0.4713396639119523,0.776318974272823,2.0802992924988608e-33,2.449489742783178,half_base_norm,0.7071067811864391,-0.44741434699039717,0.9905648587388146,0.9324534381143247,1,4
0.309288594087467,"[3, 4, 5]","[0, 1, 2]",-0.2723618631581503,0.17634391430116558,"[1, 4, 6]","[0, 2, 3]",-0.7544379084838614,0,0.661107728362216,0.6611077283622593,0.6611077283622376,0.6611077283622593,0.6611077283623745,1.580122513087456,2,1.7675061797646656,2,4,False,7.824737297996385e-13,0.5683682244560397,2.059071030366983e-16,shared_edge,0.780208375479816,0.7802083754798353,0.7802083754798257,0.7802083754798353,0.6693204918952858,1.580122513087456,2,1.7675061797646656,2,4,False,False,False,1.2795123833867759,1.059479361641474,1.6910457635773465e-16,"[0, 1, 2]->[0, 2, 3]@[0, 2]:s=+1",incidence_identity,0.883395036117246,0.8833950361172523,0.8833950361172491,0.8833950361172523,0.6774336965644615,1.580122513087456,2,1.7675061797646656,2,4,False,0.4713396639119523,0.776318974272823,2.0802992924988608e-33,2.449489742783178,base_norm,1.4142135623728782,-0.44741434699039717,0.9905648587388146,0.9324534381143247,1,4
0.309288594087467,"[3, 4, 5]","[0, 1, 2]",-0.2723618631581503,0.17634391430116558,"[1, 4, 6]","[0, 2, 3]",-0.7544379084838614,0,0.661107728362216,0.6611077283622593,0.6611077283622376,0.6611077283622593,0.6611077283623745,1.580122513087456,2,1.7675061797646656,2,4,False,7.824737297996385e-13,0.5683682244560397,2.059071030366983e-16,shared_edge,0.6623471736256775,0.7174984337454039,0.6899228036855407,0.7174984337454039,0.6910643224628953,1.580122513087456,2,1.7675061797646656,2,4,False,False,False,0.14276226614517198,0.5688648130114815,2.0796484140083457e-16,"[0, 1, 2]->[0, 2, 3]@[0, 2]:s=+1",edge_projector,0.984642061633623,0.9997063805661861,0.9921742210999045,0.9997063805661861,0.9864244526531092,1.580122513087456,2,1.7675061797646656,2,4,False,0.9955906731353792,0.9977977722096987,5.268045183993583e-16,1.4142135623730951,unit,1.0,-0.44741434699039717,0.9905648587388146,0.9324534381143247,1,4
0.309288594087467,"[3, 4, 5]","[0, 1, 2]",-0.2723618631581503,0.17634391430116558,"[1, 4, 6]","[0, 2, 3]",-0.7544379084838614,0,0.661107728362216,0.6611077283622593,0.6611077283622376,0.6611077283622593,0.6611077283623745,1.580122513087456,2,1.7675061797646656,2,4,False,7.824737297996385e-13,0.5683682244560397,2.059071030366983e-16,shared_edge,0.6629631732600546,0.7390095529129713,0.700986363086513,0.7390095529129713,0.7039962680571353,1.580122513087456,2,1.7675061797646656,2,4,False,False,False,0.17452932808802551,0.5691193501801401,2.0539269922395885e-16,"[0, 1, 2]->[0, 2, 3]@[0, 2]:s=+1",edge_projector,0.984642061633623,0.9997063805661861,0.9921742210999045,0.9997063805661861,0.9864244526531092,1.580122513087456,2,1.7675061797646656,2,4,False,0.9955906731353792,0.9977977722096987,5.268045183993583e-16,1.4142135623730951,half_base_norm,1.224744871391035,-0.44741434699039717,0.9905648587388146,0.9324534381143247,1,4
0.309288594087467,"[3, 4, 5]","[0, 1, 2]",-0.2723618631581503,0.17634391430116558,"[1, 4, 6]","[0, 2, 3]",-0.7544379084838614,0,0.661107728362216,0.6611077283622593,0.6611077283622376,0.6611077283622593,0.6611077283623745,1.580122513087456,2,1.7675061797646656,2,4,False,7.824737297996385e-13,0.5683682244560397,2.059071030366983e-16,shared_edge,0.6683982525287447,0.8443148769841288,0.7563565647564368,0.8443148769841288,0.78323014560727,1.580122513087456,2,1.7675061797646656,2,4,False,False,False,0.34340724521788896,0.5715964419838098,1.973277108240323e-16,"[0, 1, 2]->[0, 2, 3]@[0, 2]:s=+1",edge_projector,0.984642061633623,0.9997063805661861,0.9921742210999045,0.9997063805661861,0.9864244526531092,1.580122513087456,2,1.7675061797646656,2,4,False,0.9955906731353792,0.9977977722096987,5.268045183993583e-16,1.4142135623730951,base_norm,2.44948974278207,-0.44741434699039717,0.9905648587388146,0.9324534381143247,1,4
0.309288594087467,"[3, 4, 5]","[0, 1, 2]",-0.2723618631581503,0.17634391430116558,"[1, 4, 6]","[0, 2, 3]",-0.7544379084838614,0,0.661107728362216,0.6611077283622593,0.6611077283622376,0.6611077283622593,0.6611077283623745,1.580122513087456,2,1.7675061797646656,2,4,False,7.824737297996385e-13,0.5683682244560397,2.059071030366983e-16,shared_edge,0.7448082038743079,0.7448082038743079,0.7268208678627521,0.7088335318511962,0.65758019612193,1.580122513087456,2,1.7675061797646656,2,4,False,False,False,0.9818883274832949,0.7247695322276582,1.8296866361976995e-16,"[0, 1, 2]->[0, 2, 3]@[0, 2]:s=+1",edge_complement_projector,0.8896935187214422,0.8896935187214422,0.861674374446239,0.8336552301710356,0.6490683612246383,1.580122513087456,2,1.7675061797646656,2,4,False,0.52020387335257,0.7951347879348855,1.128324774128887e-16,2.0,unit,1.0,-0.44741434699039717,0.9905648587388146,0.9324534381143247,1,4
0.309288594087467,"[3, 4, 5]","[0, 1, 2]",-0.2723618631581503,0.17634391430116558,"[1, 4, 6]","[0, 2, 3]",-0.7544379084838614,0,0.661107728362216,0.6611077283622593,0.6611077283622376,0.6611077283622593,0.6611077283623745,1.580122513087456,2,1.7675061797646656,2,4,False,7.824737297996385e-13,0.5683682244560397,2.059071030366983e-16,shared_edge,0.7302790765909933,0.7302790765909933,0.7149314405257224,0.6995838044604515,0.658252957901249,1.580122513087456,2,1.7675061797646656,2,4,False,False,False,0.8934324872528657,0.6729917015029262,1.9562256370181452e-16,"[0, 1, 2]->[0, 2, 3]@[0, 2]:s=+1",edge_complement_projector,0.8896935187214422,0.8896935187214422,0.861674374446239,0.8336552301710356,0.6490683612246383,1.580122513087456,2,1.7675061797646656,2,4,False,0.52020387335257,0.7951347879348855,1.128324774128887e-16,2.0,half_base_norm,0.8660254037842262,-0.44741434699039717,0.9905648587388146,0.9324534381143247,1,4
0.309288594087467,"[3, 4, 5]","[0, 1, 2]",-0.2723618631581503,0.17634391430116558,"[1, 4, 6]","[0, 2, 3]",-0.7544379084838614,0,0.661107728362216,0.6611077283622593,0.6611077283622376,0.6611077283622593,0.6611077283623745,1.580122513087456,2,1.7675061797646656,2,4,False,7.824737297996385e-13,0.5683682244560397,2.059071030366983e-16,shared_edge,0.805748302127033,0.805748302127033,0.7794440351102327,0.7531397680934325,0.654435284860668,1.580122513087456,2,1.7675061797646656,2,4,False,False,False,1.4460973886476123,1.2758282340951645,1.7794046124854599e-16,"[0, 1, 2]->[0, 2, 3]@[0, 2]:s=+1",edge_complement_projector,0.8896935187214422,0.8896935187214422,0.861674374446239,0.8336552301710356,0.6490683612246383,1.580122513087456,2,1.7675061797646656,2,4,False,0.52020387335257,0.7951347879348855,1.128324774128887e-16,2.0,base_norm,1.7320508075684524,-0.44741434699039717,0.9905648587388146,0.9324534381143247,1,4
0.0736954504639241,"[0, 1, 6]","[2, 4, 7]",-0.24852152570575198,0.15189879048312685,"[4, 6, 7]","[0, 3, 5]",0.21531190931080815,1,0.6796638785774999,0.6796638785774999,0.6796638785774676,0.6796638785774353,0.6796638785776082,0.8517443133946153,2,0.7760361824934437,2,4,False,3.2363225711059363e-13,0.4713934688390951,1.414728993691447e-16,shared_edge,0.7905841180133999,0.7905841180133999,0.7905841180133848,0.7905841180133698,0.756144497004202,0.8517443133946153,2,0.7760361824934437,2,4,False,False,False,0.8663869195854604,0.5656596037770973,1.4166568425951498e-16,"[2, 4, 7]->[4, 6, 7]@[4, 7]:s=+1",incidence_identity,0.9752865052270753,0.9752865052270753,0.9752865052270745,0.9752865052270737,0.889594022777963,0.8517443133946153,2,0.7760361824934437,2,4,False,0.827524935946916,0.8997338263992709,4.1101202697347175e-33,2.449489742783178,unit,1.0,0.0637902490488275,0.9476178622942263,0.9308240918083235,1,4
