C3_like_transfer_pass_count,P_harmonic,QP_lock_transfer_pass_count,Q_harmonic,assemblies_applied,best_C3_cube_identity_resid,best_QP_transfer_max_resid,best_QP_transfer_mean_resid,best_minus_identity_resid,best_projected_J2_plus_I_resid,beta0,beta1,beta2,beta3,complex_like_transfer_pass_count,decision_used_delta_beta_any,double_cover_like_transfer_pass_count,max_projected_QP_transfer_eig_imag,max_response_circulation,max_response_complex_eig_imag,ok_transfer_row_count,pair_harmonic,result_open_transfer_gate_pass_count,transfer_active_count,transfer_row_count,variant
0,0.24880104631557917,0,0.38179479579105513,1,0.7097403611007946,0.888822699755024,0.8664563499155813,0.5829039159802882,0.9674158021350374,1,0,4,0,16,False,0,0.48605923367071074,1.2873122315804113,0.12782327036486443,35,0.38179479579105513,16,35,35,real_growth
0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,False,0,0.0,0.0,0.0,0,0.0,0,0,0,strict_symmetrized_control
0,0.3433668689249218,0,0.40562305647622443,2,0.7959702199098158,0.8788469105958907,0.8163538991801227,0.5630486521421617,0.8727238750169478,1,0,8,0,28,False,0,4773056.374460475,25.8753682920119,0.2316572112636233,70,0.40562305647622443,28,70,70,no_backreaction
