A_gated_both_count,C_lock_pass_count,all_kappa_pareto_gate_pass_count,all_kappa_pareto_plus_beta2_audit_pass_count,best_C_candidate_key,best_C_lock_worst,best_C_signed_flip_abs,best_flip_C_lock_worst,best_flip_candidate_key,best_flip_signed_flip_abs,best_flip_signed_identity,best_flip_signed_kappa,best_score,best_score_C_lock_worst,best_score_beta2_both,best_score_candidate_key,best_score_signed_flip_abs,beta2_opening_audit_both_count,decision_used_delta_beta_any,kappa_signed_flip_pass_count,matched_candidate_count,unmatched_candidate_count,variant
206,19,3,0,handle_candidate|1 5 6|3 8 11,0.12800241337886697,0.32832290149678395,0.6171211958586544,handle_candidate|0 1 2|3 7 10,0.014467866013737275,0.6491230644372198,-0.6681816525823373,0.2926977615039454,0.22794963559727455,False,quotient_candidate|0 1 3|8 10 11,0.31678543673616094,88,False,23,206,56,real_growth
0,0,0,0,,,,,,,,,,,,,,0,False,0,0,0,strict_symmetrized_control
236,15,2,0,handle_candidate|2 4 7|8 10 11,0.06678352052822864,0.999999999997398,0.4022404875013721,handle_candidate|2 7 9|8 10 11,0.033382842637104636,-0.4248975594205814,0.39744541336627554,0.4467725202027056,0.4936532449871195,True,handle_candidate|0 1 2|3 7 10,0.059243718929459795,108,False,28,236,31,no_backreaction
