JP_to_minusQ_resid,JQ_to_P_resid,J_lock_max_resid,J_lock_mean_resid,P_norm,Q_norm,alpha_P_scale_from_norms,beta_Q_scale_from_norms,candidate,pair_index
0.9905648587388146,0.9905648587388121,0.9905648587388146,0.9905648587388134,1.5237833702768515,1.4951204689706883,,,raw_QP,0
0.9905640040795817,0.9905640040795832,0.9905640040795832,0.9905640040795824,1.0,0.9999999999999999,,,unit_QP,0
0.9905648587388106,0.9905648587388164,0.9905648587388164,0.9905648587388135,1.4951204689703528,1.5237833702764811,0.9811896481707297,1.019170964414343,norm_matched_QP,0
0.906820787311416,0.906820787311454,0.906820787311454,0.906820787311435,0.18211711045744133,0.2567714316178524,,,harmonic_QP,0
0.9038971023197306,0.9038971023197002,0.9038971023197306,0.9038971023197154,1.0,0.9999999999999999,,,unit_harmonic_QP,0
0.906820787311467,0.9068207873113667,0.906820787311467,0.9068207873114169,0.2567714316165227,0.182117110456809,1.4099248059205685,0.7092576822481177,norm_matched_harmonic_QP,0
0.806091385710708,0.8060913857110256,0.8060913857110256,0.8060913857108668,0.43740012444581355,1.4951204689706883,,,Q_comm,0
0.808347850690394,0.8083478506907089,0.8083478506907089,0.8083478506905515,0.43740012444581355,1.5237833702768515,,,P_comm,0
0.5990740580956444,0.5990740580957645,0.5990740580957645,0.5990740580957045,0.1463848285195623,0.2567714316178524,,,harmonic_Q_comm,0
0.39868205104303056,0.39868205104314874,0.39868205104314874,0.3986820510430896,0.1463848285195623,0.18211711045744133,,,harmonic_P_comm,0
0.1373732348422524,0.137373234842234,0.1373732348422524,0.13737323484224317,0.7618916851384185,0.7475602344853406,,,C_eigen_raw_even_odd,0
0.13794476958952667,0.13794476958925037,0.13794476958952667,0.1379447695893885,0.8206034084083231,0.682594528380865,,,C_eigen_transported_even_odd,0
0.13705091689309423,0.13705091689310542,0.13705091689310542,0.13705091689309984,0.9999999999999999,0.9999999999999999,,,unit_C_eigen_raw_even_odd,0
0.10339126937405321,0.10339126937406562,0.10339126937406562,0.10339126937405942,1.0,1.0,,,unit_C_eigen_transported_even_odd,0
0.7059867328250566,0.7059867328253279,0.7059867328253279,0.7059867328251923,0.6367681827523352,0.547391112892708,,,raw_QP,2
0.7039484870302156,0.7039484870303049,0.7039484870303049,0.7039484870302603,0.9999999999999999,1.0,,,unit_QP,2
0.7059867328252382,0.7059867328251462,0.7059867328252382,0.7059867328251922,0.547391112890988,0.6367681827500105,0.8596395481397513,1.1632782625662046,norm_matched_QP,2
0.47842489686178985,0.47842489686126166,0.47842489686178985,0.4784248968615258,0.06765157951734559,0.10895470922181817,,,harmonic_QP,2
0.42927102655985083,0.4292710265601451,0.4292710265601451,0.42927102655999794,0.9999999999999998,1.0,,,unit_harmonic_QP,2
0.47842489685989875,0.47842489686098394,0.47842489686098394,0.4784248968604413,0.10895470922005535,0.06765157951659592,1.6105272042040026,0.6209146901476811,norm_matched_harmonic_QP,2
0.75620746692254,0.7562074669216077,0.75620746692254,0.7562074669220739,0.2464602291428481,0.547391112892708,,,Q_comm,2
0.7730733906076936,0.7730733906065116,0.7730733906076936,0.7730733906071026,0.2464602291428481,0.6367681827523352,,,P_comm,2
0.49570356292842,0.49570356292743917,0.49570356292842,0.4957035629279296,0.06000923662913989,0.10895470922181817,,,harmonic_Q_comm,2
0.6077283708894954,0.6077283708888898,0.6077283708894954,0.6077283708891925,0.06000923662913989,0.06765157951734559,,,harmonic_P_comm,2
0.7122355973473168,0.7122355973475855,0.7122355973475855,0.7122355973474511,0.31838409137648455,0.2736955564466001,,,C_eigen_raw_even_odd,2
0.732562461679771,0.7325624616804995,0.7325624616804995,0.7325624616801353,0.36059471089845696,0.21505613623415962,,,C_eigen_transported_even_odd,2
0.7102510314008726,0.7102510314009614,0.7102510314009614,0.7102510314009169,0.9999999999999999,1.0,,,unit_C_eigen_raw_even_odd,2
0.7106389882580617,0.7106389882582322,0.7106389882582322,0.710638988258147,1.0,0.9999999999999999,,,unit_C_eigen_transported_even_odd,2
0.8123254452850512,0.8123254452847288,0.8123254452850512,0.81232544528489,1.3585153237083556,1.5561983893608087,,,raw_QP,4
0.8113574130549679,0.8113574130551079,0.8113574130551079,0.8113574130550378,1.0,0.9999999999999999,,,unit_QP,4
0.8123254452845747,0.8123254452851781,0.8123254452851781,0.8123254452848765,1.5561983893513915,1.3585153236996443,1.1455140491926277,0.8729705241872405,norm_matched_QP,4
0.7165479657843644,0.7165479657840892,0.7165479657843644,0.7165479657842269,0.2070313668191173,0.2887782426192169,,,harmonic_QP,4
0.7069970274485776,0.7069970274492867,0.7069970274492867,0.7069970274489321,1.0,1.0,,,unit_harmonic_QP,4
0.7165479657831751,0.716547965784888,0.716547965784888,0.7165479657840316,0.2887782426168643,0.20703136681729853,1.394852611243054,0.716921624494717,norm_matched_harmonic_QP,4
0.7078696235219917,0.7078696235225315,0.7078696235225315,0.7078696235222616,1.4180079231013023,1.5561983893608087,,,Q_comm,4
0.7072690848858864,0.7072690848869142,0.7072690848869142,0.7072690848864003,1.4180079231013023,1.3585153237083556,,,P_comm,4
0.6775860972952858,0.67758609729552,0.67758609729552,0.6775860972954029,0.1948920088168541,0.2887782426192169,,,harmonic_Q_comm,4
0.7239638075794083,0.72396380758014,0.72396380758014,0.7239638075797741,0.1948920088168541,0.2070313668191173,,,harmonic_P_comm,4
0.5871347865263216,0.5871347865258756,0.5871347865263216,0.5871347865260985,0.6792576618540423,0.7780991946806435,,,C_eigen_raw_even_odd,4
0.5859976095452984,0.5859976095461893,0.5859976095461893,0.5859976095457439,0.7495763586449384,0.710608619783417,,,C_eigen_transported_even_odd,4
0.5845503812966739,0.5845503812968681,0.5845503812968681,0.584550381296771,1.0,0.9999999999999999,,,unit_C_eigen_raw_even_odd,4
0.5855981878589571,0.5855981878595988,0.5855981878595988,0.585598187859278,0.9999999999999999,1.0,,,unit_C_eigen_transported_even_odd,4
0.9751018966717281,0.9751018966717091,0.9751018966717281,0.9751018966717186,0.9803322472526514,1.0979193465729233,,,raw_QP,6
0.9750209107655664,0.9750209107655334,0.9750209107655664,0.9750209107655499,1.0,1.0,,,unit_QP,6
0.9751018966717454,0.9751018966716984,0.9751018966717454,0.975101896671722,1.097919346571999,0.9803322472520589,1.119946170952635,0.8929000571053747,norm_matched_QP,6
0.8710472021011442,0.8710472021012504,0.8710472021012504,0.8710472021011972,0.18677580714364278,0.23465979563753478,,,harmonic_QP,6
0.8692339531715322,0.8692339531716125,0.8692339531716125,0.8692339531715723,1.0,0.9999999999999999,,,unit_harmonic_QP,6
0.8710472021011383,0.8710472021011941,0.8710472021011941,0.8710472021011662,0.23465979563635644,0.18677580714285677,1.2563714713645313,0.7959429378833962,norm_matched_harmonic_QP,6
0.8030031804238605,0.8030031804239711,0.8030031804239711,0.8030031804239158,0.32964523548306707,1.0979193465729233,,,Q_comm,6
0.7895337117475107,0.7895337117477036,0.7895337117477036,0.7895337117476071,0.32964523548306707,0.9803322472526514,,,P_comm,6
0.4542642800041051,0.4542642800043239,0.4542642800043239,0.4542642800042145,0.14121956337471747,0.23465979563753478,,,harmonic_Q_comm,6
0.8424069283588925,0.8424069283588659,0.8424069283588925,0.8424069283588792,0.14121956337471747,0.18677580714364278,,,harmonic_P_comm,6
0.2288614581818452,0.2288614581817642,0.2288614581818452,0.2288614581818047,0.49016612362630857,0.5489596732864647,,,C_eigen_raw_even_odd,6
0.22850518483225749,0.22850518483205398,0.22850518483225749,0.22850518483215573,0.5250360167939605,0.5157099307893624,,,C_eigen_transported_even_odd,6
0.22211308734328625,0.22211308734314147,0.22211308734328625,0.22211308734321386,0.9999999999999999,1.0,,,unit_C_eigen_raw_even_odd,6
0.22833858039922028,0.2283385803990258,0.22833858039922028,0.22833858039912303,1.0,1.0,,,unit_C_eigen_transported_even_odd,6
