JP_to_minusQ_resid,JQ_to_P_resid,J_lock_max_resid,J_lock_mean_resid,P_norm,Q_norm,candidate,max_J_lock_max_resid,max_J_lock_mean_resid,min_J_lock_max_resid,min_J_lock_mean_resid,pair_count
0.41687254544611835,0.4168725454462848,0.4168725454462866,0.41687254544620156,1.0,1.0,unit_C_eigen_transported_even_odd,0.6942941452164534,0.6942941452162781,0.13800603779333967,0.13800603779333703,4
0.4562086736309896,0.4562086736309946,0.4562086736309978,0.45620867363099216,1.0,1.0,unit_C_eigen_raw_even_odd,0.6942884220332348,0.6942884220332313,0.18266861954396138,0.1826686195439589,4
0.46266210598528446,0.4626621059851718,0.46266210598528634,0.46266210598522817,0.7223709162323597,0.7135570581580966,C_eigen_raw_even_odd,0.6946992739762464,0.6946992739761386,0.18297948043727838,0.18297948043726803,4
0.48037464128765217,0.4803746412880274,0.4803746412880986,0.48037464128783985,0.8125787326380782,0.5992760522422906,C_eigen_transported_even_odd,0.7379020821479593,0.737902082147346,0.1843569389999252,0.18435693899978298,4
0.5849164789671337,0.5849164789674569,0.58491647896762,0.5849164789672954,0.2316451468541279,0.2592783338740887,harmonic_Q_comm,0.6807751579395164,0.6807751579385463,0.5464676297215442,0.5464676297215418,4
0.6455513133437717,0.6455513133443699,0.64555131334439,0.6455513133440707,0.2316451468541279,0.20423579326423041,harmonic_P_comm,0.7604228875846348,0.7604228875846004,0.3867203500954353,0.38672035009542954,4
0.6980501640862379,0.6980501640862844,0.6980501640863073,0.6980501640862612,1.0,1.0,unit_harmonic_QP,0.8670618786854705,0.8670618786854538,0.485107257188107,0.4851072571880779,4
0.7129796538419306,0.712979653842279,0.7129796538422959,0.7129796538421047,0.25927833387251187,0.20423579326325617,norm_matched_harmonic_QP,0.8679685504401744,0.8679685504401404,0.5349383687042042,0.5349383687038138,4
0.7129796538425043,0.7129796538422504,0.7129796538425044,0.7129796538423773,0.20423579326423041,0.2592783338740887,harmonic_QP,0.8679685504401429,0.8679685504401426,0.5349383687052484,0.5349383687048017,4
0.7432426221135471,0.7432426221139928,0.7432426221142754,0.74324262211377,1.1281384224854278,1.4271141163159453,Q_comm,0.7677864073450649,0.7677864073445089,0.7148364452881389,0.7148364452868103,4
0.7457181183686395,0.7457181183691735,0.7457181183694399,0.7457181183689066,1.1281384224854278,1.444741832464641,P_comm,0.7677508029556708,0.7677508029556619,0.7185418946900242,0.7185418946885521,4
0.8511994000889462,0.8511994000889505,0.8511994000889527,0.8511994000889483,1.0,1.0,unit_QP,0.9831745396588084,0.983174539658808,0.7196968716239603,0.7196968716239569,4
0.8521147719593679,0.8521147719594795,0.8521147719594809,0.8521147719594238,1.4271141163125942,1.4447418324614885,norm_matched_QP,0.9831765350821583,0.9831765350821555,0.7200657417365998,0.7200657417365025,4
0.852114771959478,0.8521147719593754,0.8521147719594787,0.8521147719594266,1.444741832464641,1.4271141163159453,raw_QP,0.9831765350821571,0.9831765350821552,0.7200657417366066,0.7200657417365026,4
