C_lock_max_worst_mean,C_lock_max_worst_median,QP_balance_min_mean,QP_balance_min_median,beta_delta_min_mean,beta_delta_min_median,comm_abs_area_avg_mean,comm_abs_area_avg_median,count,directed_imbalance_avg_mean,directed_imbalance_avg_median,group,signed_amplitude_min_mean,signed_amplitude_min_median,signed_flip_abs_mean,signed_flip_abs_median,transport_cosine_avg_mean,transport_cosine_avg_median,transverse_complementarity_avg_mean,transverse_complementarity_avg_median,variant
0.5822758934121944,0.6171211958586748,0.6054417282704068,0.6467241120662208,0.5048543689320388,0.0,0.5709826873849094,0.3445628115779812,206,0.21817256708871366,0.1573858437223629,all_A_gated,0.25726351879594395,0.21149699765828767,0.8125172120444755,0.9999999999981535,0.06294719541027546,0.08020538870599608,0.4609633087107479,0.3417300614853196,real_growth
0.5326822769327282,0.563205086031832,0.5850319216105428,0.650493396379054,1.1818181818181819,1.0,0.77095044506185,0.7418802391402484,88,0.26720137819594353,0.2363977155231476,beta2_open,0.22475136080728905,0.1810510179496864,0.8713284904392945,0.9999999999982764,0.008957007403685447,0.06913814172515825,0.46230292977220944,0.3490094573227859,real_growth
0.1661376076894094,0.1821204140905839,0.6144602526079437,0.7301327038508406,0.5263157894736842,1.0,0.304531719493059,0.2822737150451055,19,0.1342980604124263,0.0839068738958173,C_lock,0.26879963956375813,0.3211951675399755,0.7542540472300643,0.9999999999988798,-0.10081363221705375,-0.2925053067417239,0.43069522643828423,0.348343497184935,real_growth
0.4377703549096121,0.3468264574753733,0.597893429862122,0.5541108844114223,0.30434782608695654,0.0,0.7098784487387136,0.6763142230525658,23,0.20346490311798907,0.1573858437223629,kappa_flip,0.4034224048220769,0.3781958543538955,0.09900631624500274,0.1014650642067063,0.17312201856236106,0.21999267040267523,0.535923592851678,0.4683738995670554,real_growth
0.5903809322843193,0.6386203580877399,0.6284352290084879,0.6611651374079655,0.49230769230769234,0.0,0.5843382836085413,0.36417001522330544,195,0.21848195745732366,0.1573858437223629,QP_support,0.25323966244516327,0.2041776814331804,0.8042541124311516,0.9999999999977908,0.07938508707582201,0.1057303091967694,0.45770544492094567,0.3417300614853196,real_growth
0.17497122352093472,0.1840889705476023,0.5145408002656404,0.680755862263851,1.0,1.0,0.32060166751018476,0.3272830396778179,10,0.15545284604257814,0.1437854501183968,beta2_and_C,0.19015708579564333,0.2079026752873267,0.9999999999986713,0.9999999999988798,0.025500397993298757,-0.2925053067417239,0.3941236003380345,0.348343497184935,real_growth
0.46127934372719614,0.4681646059723449,0.5917535283135945,0.5541108844114223,1.0,1.0,1.1178984287322489,1.191928926789799,7,0.2321161764947077,0.0868957033204866,beta2_and_flip,0.45982964125915243,0.3781958543538955,0.061395896648309675,0.0497211681321916,0.2662486122651858,0.2790461658065458,0.46758677270600474,0.4683738995670554,real_growth
0.1515590559785567,0.134066757780375,0.6827567450528473,0.8214184470304525,0.0,0.0,0.2806842050120394,0.2822737150451055,3,0.12613793631643513,0.0562343298038757,C_and_flip,0.36040738851947673,0.4045464036978909,0.047526056502457094,0.0567612263996751,-0.21081314498073844,0.12301781437941126,0.2737985744868986,0.2688307612369465,real_growth
nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,all_four,nan,nan,nan,nan,nan,nan,nan,nan,real_growth
0.6058436959027416,0.6087103139182666,0.6062333730782888,0.5874081648184236,0.5508474576271186,0.0,0.2911832467182338,0.18502400191155227,236,0.3512049802614698,0.26178223091826114,all_A_gated,0.2728004132220571,0.2478361012819093,0.7935719165052888,0.999999999998128,0.08529801369229083,0.09094813243539017,0.4590139287340979,0.3417300614853196,no_backreaction
0.5703821829972119,0.5738941546983792,0.6061054478309225,0.58987006103985,1.2037037037037037,1.0,0.3649148802365885,0.289836222082242,108,0.4499805035753859,0.4825273176964425,beta2_open,0.2859663729760767,0.239749259594863,0.8537062073057792,0.9999999999983251,0.005254499411373202,-0.11389218862784928,0.43262938783767585,0.34261305403453857,no_backreaction
0.13978330782589504,0.1338047414783452,0.7272079439757018,0.7107135553465233,0.4,0.0,0.31255431958549507,0.289836222082242,15,0.3532643466557216,0.2633215407828071,C_lock,0.18836402584709433,0.1334556332357621,0.8146446966448713,0.999999999997398,-0.0724742080861876,-0.028284118358704494,0.3189179474197904,0.2852374382953288,no_backreaction
0.48520415836997666,0.4022404875014053,0.6299912754461555,0.6260098321169847,0.2857142857142857,0.0,0.33157936970913815,0.18462540664115284,28,0.2235212181288408,0.13380547633900394,kappa_flip,0.39677658510492847,0.3974454133662755,0.12700720864163917,0.10707678541521895,0.2768698881608097,0.3689541170887338,0.512994259895925,0.42197257833828283,no_backreaction
0.6035519158970291,0.6087103139182666,0.6265978972777158,0.5997280768108334,0.5555555555555556,0.0,0.2976946651996891,0.18502400191155227,225,0.3550128974646956,0.2633215407828071,QP_support,0.2704896106865164,0.2460272996471496,0.7858298289709914,0.999999999998128,0.07758447167763469,0.09099721251945225,0.4545091654009929,0.3417300614853196,no_backreaction
