A_invariant,A_rank_score,best_J_lock_max_resid,best_J_lock_mean_resid,best_candidate,comm_abs_area,comm_signed_birth,comm_signed_birth_over_abs,decision_used_delta_beta,directed_imbalance,face_a,face_b,measured_delta_beta1,measured_delta_beta2,pair_index,transport_cosine_ka_kb_reversed,transverse_complementarity
5.361892821641848,23.9509527019268,0.10339126937406562,0.10339126937405942,unit_C_eigen_transported_even_odd,0.309288594087467,-0.08423841773949974,-0.2723618631581503,False,0.7805782412610942,"[3, 4, 5]","[0, 1, 2]",0,2,0,-0.06977274777580166,0.33612090443309484
4.5380476086651615,18.856887784898852,0.5259471572933395,0.5259471572933168,unit_C_eigen_raw_even_odd,0.17634391430116558,-0.1330405338799831,-0.7544379084838614,False,0.12206187543724384,"[1, 4, 6]","[0, 2, 3]",0,1,1,0.7113022689892015,0.26550234612555595
4.441905656277682,21.07015468040065,0.3201810546170414,0.3201810546169869,unit_C_eigen_raw_even_odd,0.0736954504639241,-0.018314905787115608,-0.24852152570575198,False,0.5272931008709903,"[0, 1, 6]","[2, 4, 7]",0,1,2,0.22444330729009082,0.8011152098515708
4.6288470588455946,20.061292023395644,0.40838829467616344,0.4083882946761561,unit_C_eigen_raw_even_odd,0.15189879048312685,0.03270561860113977,0.21531190931080815,False,0.20793797438546605,"[4, 6, 7]","[0, 3, 5]",0,4,3,-0.30007193602817145,0.4173461998938132
