A_fan_directed_mean,A_gate,A_invariant,A_live_record_gap,A_nonreciprocal_norm,A_rank_gated,A_rank_legal,A_rank_score,A_shell_gap,C_eigen_J_lock_mean_resid_eval,address_similarity,after_K_mean,after_beta0,after_beta1,after_beta2,after_beta3,after_boundary_fraction,after_edge_link_cycle_fraction,after_exact_residual_ratio,after_harmonic_ratio,applied,apply_reason,assembly_context,assembly_role,before_beta0,before_beta1,before_beta2,before_beta3,candidate_id,cascade_index,decision_used_delta_beta,delta_beta1,delta_beta2,delta_boundary_faces,directed_imbalance,encoded_move,event_t,face_a,face_b,kappa_signed_flip_abs_eval,measured_delta_beta1,measured_delta_beta2,measured_delta_beta3,move_class,new_beta1,new_beta2,nonlinear_cascade_score,proxy_A_score,proxy_B_score,response_rank_legal,response_score,selection_rule,stale_same_scan_B,transverse_complementarity
0.9999999999973043,True,5.361892821641848,0.0,0.9999999999987189,1,1,23.9509527019268,3.0629547873228296,0.10339126937405942,0.4,0.5410601536128569,1,0,2,0,0.666666666666635,0.0,0.31025700850231414,0.22095739112879656,True,ok,,A_beta_QP_proxy_stale,1,0,0,0,32,1,False,0,2,4,0.7805782412610942,0 3 4 5|0 2 4 5|0 1 2 5,6,3 4 5,0 1 2,0.9999999999985246,0,2,0,handle_candidate,0,2,1747.1757144882868,1.6186154425244665,,1,4.668668938937429,stale_same_scan_connected_reuseB,,0.33612090443309484
0.9999999999973043,True,5.7033487085197585,0.0,0.9999999999983059,2,2,23.548975715173086,4.586449548951859,0.16875463166528093,0.0,,,,,,,,,,False,face_occupancy_over_2,shared_face,B_C_kappa_context_stale,,,,,34,2,False,0,1,2,0.5902665693185405,2 4 5 6|1 2 5 6|0 1 2 6,6,4 5 6,0 1 2,0.8911857565537625,,,,handle_candidate,0,1,1842.366617299024,,-1.1733503602281248,2,3.123004074880644,stale_same_scan_connected_reuseB,True,0.41941405673564996
0.9999999999973043,True,5.198551134706471,0.0,0.9999999999948868,1,1,20.107706406624303,4.672241610312466,0.7102510314009169,0.0,0.599961464781937,1,0,3,0,0.5714285714285511,0.052631578947365656,0.2777290073956019,0.1846102482982248,True,ok,,A_beta_QP_proxy_stale,1,0,2,0,66,3,False,0,1,2,0.19557024887060076,2 4 5 6|2 3 5 6|0 2 3 6,6,4 5 6,0 2 3,0.999999999999119,0,1,0,handle_candidate,0,3,570.4572527633698,1.2898349218257414,,5,1.6168787091747745,stale_same_scan_connected_reuseB,,0.281228066820324
0.9999999999973043,True,4.513409010795025,0.0,0.9999999999983588,3,3,18.55948681495985,3.2345389100440434,0.9082745035097649,0.4,,,,,,,,,,False,face_occupancy_over_2,shared_face,B_C_kappa_context_stale,,,,,64,4,False,0,1,2,0.09351592750669213,1 2 5 6|2 3 5 6|0 2 3 6,6,1 5 6,0 2 3,0.23351983054727432,,,,handle_candidate,0,3,394.0663231722834,,-1.954071362420246,3,2.299522043625827,stale_same_scan_connected_reuseB,True,0.29618128445723796
0.9999999999972644,True,4.576465673355836,0.0,0.9999999999985276,1,1,23.28689981302999,1.389194970519517,0.584550381296771,0.8,0.5920659802419914,1,0,3,0,0.4444444444444321,0.17391304347825332,0.29496008902152265,0.14785381978428014,True,ok,,A_beta_QP_proxy_stale,1,0,3,0,76,1,False,0,0,-2,0.6791836406548697,1 3 5 7|1 2 5 7|1 2 4 7,7,3 5 7,1 2 4,0.9999999999989686,0,0,0,handle_candidate,0,3,2697.6783735106956,1.8927664343559947,,1,5.544417432514243,stale_same_scan_connected_reuseB,,1.218425491778655
0.9999999999972644,True,4.327297459486568,0.0,0.9999999999985287,4,4,21.6318378914,1.6252520870544065,0.00927046336102249,0.8,,,,,,,,,,False,face_occupancy_over_2,shared_face,B_C_kappa_context_stale,,,,,82,2,False,0,2,2,0.43503902014498713,0 3 5 7|0 5 6 7|0 2 6 7,7,3 5 7,0 2 6,0.9999999999988007,,,,handle_candidate,0,5,1778.505323113285,,-0.953613039294985,3,4.9312826388437925,stale_same_scan_connected_reuseB,True,1.0794697683912595
0.9999999999973043,True,5.108921541018308,0.0,0.9999999999987793,1,1,22.58346441453989,3.1599702468206408,0.22211308734321386,0.4,0.5936862518072388,1,0,4,0,0.2999999999999925,0.31999999999998724,0.30999923433691307,0.178406457408319,True,ok,,A_beta_QP_proxy_stale,1,0,3,0,78,3,False,0,1,-4,0.5666224186921238,0 2 4 6|0 1 4 6|0 1 3 6,7,2 4 6,0 1 3,0.9999999999987623,0,1,0,handle_candidate,0,4,883.7860175947031,1.448331784351544,,5,4.195369281728142,stale_same_scan_connected_reuseB,,0.32877235633942
