JP_to_minusQ_resid,JQ_to_P_resid,J_lock_max_resid,J_lock_mean_resid,P_norm,Q_norm,candidate,max_J_lock_max_resid,max_J_lock_mean_resid,min_J_lock_max_resid,min_J_lock_mean_resid,pair_count
0.398890813225904,0.3988908132261095,0.39889081322611014,0.3988908132260067,1.0,1.0,unit_C_eigen_transported_even_odd,0.7106389882582322,0.710638988258147,0.10339126937406562,0.10339126937405942,4
0.4293352786046868,0.42933527860475973,0.4293352786047603,0.42933527860472326,0.9999999999999999,1.0,unit_C_eigen_raw_even_odd,0.7102510314009614,0.7102510314009169,0.13705091689310542,0.13705091689309984,4
0.434665133560876,0.4346651335608295,0.4346651335609456,0.43466513356085273,0.5855183648919041,0.5683941920323584,C_eigen_raw_even_odd,0.7122355973475855,0.7122355973474511,0.1373732348422524,0.13737323484224317,4
0.44141218655992687,0.44141218656026915,0.4414121865603382,0.44141218656009806,0.6431590576264155,0.49961374021201777,C_eigen_transported_even_odd,0.7325624616804995,0.7325624616801353,0.13794476958952667,0.1379447695893885,4
0.6066670003025066,0.6066670003023562,0.6066670003025858,0.6066670003024314,0.12212531566629958,0.19342130441301356,harmonic_Q_comm,0.6917974775435132,0.6917974775434056,0.5623018674399636,0.5623018674399618,4
0.6445598912596622,0.6445598912598307,0.6445598912599138,0.6445598912597464,0.12212531566629958,0.14248532563648503,harmonic_P_comm,0.7539642912121036,0.7539642912121034,0.4072195423324461,0.4072195423323813,4
0.6997101998005516,0.6997101998006034,0.6997101998006402,0.6997101998005775,1.0,1.0,unit_harmonic_QP,0.8961514296093154,0.8961514296092986,0.4532397414286478,0.4532397414285911,4
0.7138907401180371,0.713890740118434,0.7138907401184564,0.7138907401182355,0.19342130441138722,0.14248532563555247,norm_matched_harmonic_QP,0.8981599135448557,0.8981599135448108,0.4933791089969273,0.4933791089966346,4
0.7138907401187066,0.7138907401184167,0.7138907401187119,0.7138907401185617,0.14248532563648503,0.19342130441301356,harmonic_QP,0.8981599135448332,0.8981599135448225,0.4933791089981223,0.4933791089977204,4
0.756560061345118,0.756560061345094,0.7565600613453324,0.756560061345106,0.6323602466020233,1.1367883840644764,Q_comm,0.8060913857110256,0.8060913857108668,0.7078696235225315,0.7078696235222616,4
0.7669827810443927,0.7669827810444273,0.7669827810447283,0.76698278104441,0.6323602466020233,1.1710367297837199,P_comm,0.8083478506907089,0.8083478506905515,0.7072690848869142,0.7072690848864003,4
0.8660629885378182,0.8660629885378758,0.866062988537876,0.8660629885378469,1.0,1.0,unit_QP,0.9905640040795832,0.9905640040795824,0.7039484870303049,0.7039484870302603,4
0.8669264316060104,0.8669264316061385,0.8669264316061626,0.8669264316060744,1.136788384061396,1.1710367297805513,norm_matched_QP,0.9905648587388164,0.9905648587388135,0.7059867328252382,0.7059867328251922,4
0.8669264316060843,0.8669264316060716,0.8669264316061529,0.8669264316060781,1.1710367297837199,1.1367883840644764,raw_QP,0.9905648587388146,0.9905648587388134,0.7059867328253279,0.7059867328251923,4
